Cycle,BIC,AIC,AUC,psAUC,c.Threshold,Type I,Type II,Policy Loss Function,,,,,,,,,,,,
null,0,0,0.5,0.5,NA,1,0,0.5,NA,1,0,0.5,NA,1,0,0.5,NA,1,0,0.5
c.hamilton28_panelr20,-164.6098,-170.9925,0.7157,0.6598,13.516,0.3679,0.333,0.2463,29.7388,0.6085,0.0863,0.3474,30.7006,0.6226,0.0767,0.2405,13.516,0.3679,0.333,0.3575
c.hamilton24_panelr20,-155.8958,-162.2786,0.7094,0.6508,12.6909,0.4009,0.3323,0.2712,25.2907,0.5802,0.1118,0.346,28.1135,0.6321,0.0856,0.2495,12.6909,0.4009,0.3323,0.3803
c.hamilton28_panelr15,-153.5231,-159.9058,0.7085,0.6503,13.722,0.3774,0.3318,0.2525,27.5586,0.5943,0.1094,0.3519,28.8672,0.6132,0.0952,0.2506,13.722,0.3774,0.3318,0.3637
c.bn4,-169.1186,-175.5014,0.6892,0.6482,2.0373,0.3868,0.3073,0.244,2.0373,0.3868,0.3073,0.347,14.7139,0.7594,0.0313,0.2497,1.7677,0.3679,0.3328,0.3574
c.hamilton28_panel,-149.8518,-156.2346,0.7107,0.6469,12.2929,0.3915,0.3333,0.2643,31.4124,0.6321,0.0671,0.3496,32.6756,0.6415,0.062,0.2359,12.2929,0.3915,0.3333,0.374
c.hamilton20_panelr20,-151.3035,-157.6862,0.7045,0.646,13.9344,0.4528,0.2794,0.2831,23.2538,0.5943,0.1104,0.3524,25.2496,0.6368,0.0868,0.2518,12.2258,0.4245,0.321,0.3935
c.bn8,-128.9733,-135.356,0.6658,0.6425,1.841,0.4481,0.3323,0.3112,8.6315,0.6274,0.0849,0.3561,14.3843,0.7075,0.0392,0.2397,1.841,0.4481,0.3323,0.4134
c.hamilton24_panelr15,-142.3051,-148.6879,0.7027,0.6417,13.1266,0.4292,0.333,0.2951,20.0433,0.5142,0.1938,0.354,26.7614,0.6085,0.1015,0.2536,13.1266,0.4292,0.333,0.4004
c.bn220,-109.3128,-115.6955,0.6963,0.638,0.6558,0.4481,0.2989,0.2901,1.0746,0.4906,0.2239,0.3572,3.4803,0.6792,0.0753,0.2565,0.5199,0.4292,0.3318,0.4
c.hamilton20_panelr15,-134.319,-140.7017,0.6981,0.6358,13.189,0.4575,0.3027,0.301,23.5064,0.5991,0.1195,0.3593,23.7023,0.6038,0.1154,0.2619,12.4011,0.4434,0.3277,0.4087
c.hamilton24_panel,-134.4093,-140.792,0.6991,0.6356,11.6829,0.4481,0.3304,0.3099,26.8458,0.6132,0.0887,0.351,27.8707,0.6321,0.0774,0.2438,11.6829,0.4481,0.3304,0.4128
c.bn420,-102.9879,-109.3706,0.6774,0.6356,1.6419,0.4009,0.3246,0.2661,1.8101,0.4104,0.3135,0.362,15.4379,0.7689,0.0351,0.2552,1.6419,0.4009,0.3246,0.378
c.bn620,-108.0679,-114.4506,0.7048,0.6353,1.0913,0.4104,0.3321,0.2787,1.6569,0.4575,0.2741,0.3658,8.4726,0.7028,0.0664,0.2573,1.0913,0.4104,0.3321,0.3869
c.linear,-135.4069,-141.7896,0.6879,0.6348,9.5097,0.5,0.2784,0.3275,21.99,0.6226,0.0882,0.3554,33.0758,0.7406,0.0257,0.2402,7.7806,0.4717,0.3277,0.4285
c.hamilton13_panelr20,-149.3378,-155.7205,0.703,0.6345,9.0377,0.4009,0.3205,0.2635,9.0377,0.4009,0.3205,0.3607,25.9552,0.7736,0.0373,0.2582,8.6317,0.3915,0.3328,0.3739
c.quad,-85.164,-91.5468,0.6622,0.6323,4.3343,0.4481,0.3145,0.2997,10.49,0.5849,0.1433,0.3641,18.6908,0.7594,0.0459,0.26,4.1443,0.4434,0.3234,0.4074
c.hamilton20_panel,-126.8625,-133.2452,0.6907,0.6313,10.8153,0.4481,0.3268,0.3076,22.1114,0.6085,0.1116,0.36,25.0446,0.6604,0.0779,0.2526,10.8153,0.4481,0.3268,0.4117
c.bn315,-144.4817,-150.8645,0.6687,0.6312,0.8199,0.4623,0.2981,0.3026,1.095,0.4953,0.2566,0.3759,6.0577,0.7075,0.0507,0.2478,0.7178,0.4481,0.3193,0.4095
c.bn320,-151.3352,-157.7179,0.6703,0.6307,0.6779,0.4151,0.3325,0.2829,0.6779,0.4151,0.3325,0.3738,6.0896,0.6981,0.051,0.2451,0.6779,0.4151,0.3325,0.3903
c.bn520,-99.7674,-106.1501,0.6744,0.6288,1.0941,0.4104,0.3287,0.2764,1.0941,0.4104,0.3287,0.3695,15.4111,0.7972,0.0238,0.2558,1.0941,0.4104,0.3287,0.3859
c.bn820,-86.7779,-93.1606,0.6518,0.6287,1.7491,0.4953,0.3287,0.3533,9.1907,0.6415,0.0844,0.363,18.1106,0.7123,0.0284,0.2335,1.7491,0.4953,0.3287,0.4453
