"1970-10-01","1971-01-01","1971-04-01","1971-07-01","1971-10-01","1972-01-01","1972-04-01","1972-07-01","1972-10-01","1973-01-01","1973-04-01","1973-07-01","1973-10-01","1974-01-01","1974-04-01","1974-07-01","1974-10-01","1975-01-01","1975-04-01","1975-07-01","1975-10-01","1976-01-01","1976-04-01","1976-07-01","1976-10-01","1977-01-01","1977-04-01","1977-07-01","1977-10-01","1978-01-01","1978-04-01","1978-07-01","1978-10-01","1979-01-01","1979-04-01","1979-07-01","1979-10-01","1980-01-01","1980-04-01","1980-07-01","1980-10-01","1981-01-01","1981-04-01","1981-07-01","1981-10-01","1982-01-01","1982-04-01","1982-07-01","1982-10-01","1983-01-01","1983-04-01","1983-07-01","1983-10-01","1984-01-01","1984-04-01","1984-07-01","1984-10-01","1985-01-01","1985-04-01","1985-07-01","1985-10-01","1986-01-01","1986-04-01","1986-07-01","1986-10-01","1987-01-01","1987-04-01","1987-07-01","1987-10-01","1988-01-01","1988-04-01","1988-07-01","1988-10-01","1989-01-01","1989-04-01","1989-07-01","1989-10-01","1990-01-01","1990-04-01","1990-07-01","1990-10-01","1991-01-01","1991-04-01","1991-07-01","1991-10-01","1992-01-01","1992-04-01","1992-07-01","1992-10-01","1993-01-01","1993-04-01","1993-07-01","1993-10-01","1994-01-01","1994-04-01","1994-07-01","1994-10-01","1995-01-01","1995-04-01","1995-07-01","1995-10-01","1996-01-01","1996-04-01","1996-07-01","1996-10-01","1997-01-01","1997-04-01","1997-07-01","1997-10-01","1998-01-01","1998-04-01","1998-07-01","1998-10-01","1999-01-01","1999-04-01","1999-07-01","1999-10-01","2000-01-01","2000-04-01","2000-07-01","2000-10-01","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01","2021-04-01","2021-07-01"
"c.hp400k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118806046836372,0.0300574317708654,0.0305902781873624,0,0,0,0.73625895676939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95707390806724,2.91348187336896,2.5677540762193,2.59489803909825,2.19360150561807,2.06085598943489,1.98394431251316,1.7961742018473,1.07622146454702,0.528774003262536,0.295921655893586,0.440050275936862,1.38971054422324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23939360801954,0.287117482314476,0,0,0,0,0,0,0,0,0,0.374696847836534,0.374038734562653,0.128316857595864,0.0192835157194093,0,0,0,0,0,0,0,0.0183866451337099,0.0211088083120665,0.0278360394517734,0.0467498883220345,0.0469102440747546,0.0842909221290563,0.0828305458116177,0.111733452438516,0.20101091530727,0.38310291537407,0.530646815974848,0.94274100043768,2.0080630351819,3.62331032015291,2.67517611589696,1.96491279238406,1.92983320067562,2.04543778362684,5.73931128649695,6.70662811654319,14.8394538281289,17.5731338341722,17.3064855843913,17.9292099002403,17.9162517968727,16.495691901761,16.3642265669705,16.1119432777714,15.9138133804354,15.9977643237699,15.0163606029244,15.0163606029244,15.0163606029244,15.0163606029244,15.0163606029244,15.0163606029244,15.0163606029244,15.0163606029244,15.0163606029244,15.0163606029244,15.0163606029244,15.0163606029244,15.0163606029244,15.0163606029244,15.0163606029244,15.0163606029244
"c.hp400k_r15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0299051501104146,0,0,0,0,-0.438763827429261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0378566336849966,0,0,0,0,0,0,0,0,0,0,-0.0111719636058875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0868491066473463,0.184330851050194,0.377142799680015,0.72078520889727,0.491603931307859,0,0,0,0,0.455315670872856,1.91835509636793,1.98558424820142,1.16498580091435,2.2069973342802,2.28508022821078,2.4714111143936,2.51126804816048,2.56951713441071,2.63044693357552,2.99204666732972,2.894442474087,2.894442474087,2.894442474087,2.894442474087,2.894442474087,2.894442474087,2.894442474087,2.894442474087,2.894442474087,2.894442474087,2.894442474087,2.894442474087,2.894442474087,2.894442474087,2.894442474087,2.894442474087
"c.hp400k_r20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0683009113480545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.62590098540587,-6.02104589677328,-6.26729104192613,-4.87559640385992,0,-0.555724837488844,0,0,0,-2.98366694756408,-2.98010898054963,-3.28211360258755,-2.86415540661514,-2.94331362175596,-2.90554387332088,-2.83842800842451,-2.88138703888082,-3.25053878735895,-3.53935801749535,-3.52976236730527,-3.52354205505863,-3.143689054117,-8.33650215190998,-8.3256995223431,-8.28233947168902,-8.2107558306225,-6.98178053453418,-7.00923659759482,-6.94299086469316,-6.84590359752322,-6.71423283004775,-6.58656495652679,-6.46428580767859,-6.35040126511062,-7.15530721494768,-6.86338041305383,-6.23188893359174,-5.07750960570138,-4.22969462042322,-2.41659760072632,-1.80780764845917,-0.150985293264885,-0.216538300677949,0,0,0,0,0,0,0,0,0,-0.0407500599538787,-0.0641980887134569,-0.0577981129275029,-0.0484883620044555,-0.0312854032674134,-0.0799648722166653,-0.106570735598803,-0.103591054542147,-0.100702913472391,-0.132292836517492,-0.118475768270816,-0.0694262262990189,-0.0585436967544513,-0.0446952924193591,-0.0249937617032142,-0.00924262404899125,0,0,0,-0.196391668282144,-0.41427486348157,-0.839675510901088,-1.58492334157788,-1.07129709942937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c.hp3k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0890472014205956,0.245810312976974,0.0527904510173659,0.39498473635824,0.484741427944998,0.499661776984094,0.502181869628272,0.475186084865172,0.493673239141156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435518115578532,0,0.709649790176376,0.744452223564837,0.777713548426663,0.421216931481286,0,0.0541762147799968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.753394392308924,0.753216044229952,0.768867732507948,0.760243221867485,0.633480798952746,0.657596328455814,0.664645863533596,0.668076895630479,0.662325898813482,0.66464323396057,0.669696648965109,0.661051168096272,0.781834328078082,0.706517453324802,0.565249620071615,0.233439331199324,0.105032648708895,0,0,0.024501758687186,0.112463824086044,0,0,0,0,0,0,0,0,0.126798209116138,0.243544601979329,0.289057069059338,0.285724858538299,0.277587866651476,0.286999132770666,0.266261566644098,0.249181611414179,0.250653070546627,0.252642123534041,0.240914051885997,0.251440646773995,0.266723385915234,0.268696725826621,0.275936537221075,0.271735873888562,0.283963964214112,0.284825537170826,0.270261291924649,0.256288596268521,0.257717853233336,0.235080422131583,0.147145627467572,0,0,0,0,0,0,0.0228556168058461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c.hp3k_r20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0890603739408581,0.237474262865726,0.0544490294216392,0.384318178752654,0.460783839819303,0.476462548641145,0.4795983773433,0.475321773565405,0.442988517195743,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414974074564939,0,0.730370274149389,0.774638636344712,0.795046315126004,0.419986454196887,0,0.0547748542943739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807093843567588,0.806113112369458,0.80406582116532,0.817960455197112,0.652684049959587,0.687656583218925,0.692383592180236,0.695977837460357,0.691260223842687,0.689417493521782,0.67962817163773,0.682508127206238,0.792008474017609,0.752639832976035,0.56874287373307,0.248198608914777,0.106264280846584,0,0,0.0401377371220626,0.113893015763746,0,0,0,0,0,0,0,0,0.129673752439143,0.242206806179323,0.29029981596426,0.286434030788648,0.278286250182769,0.290639285948962,0.264030899631131,0.246487735649636,0.248654065963206,0.249334925326219,0.235529843741748,0.245720984516762,0.263675101811068,0.257292709806485,0.272376227494903,0.270929144950273,0.283575533228726,0.28164136333231,0.269687988062983,0.25159315886275,0.251062740783695,0.231558801618925,0.144433192853081,0,0,0,0,0,0,0.0224860239190646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c.hp25k_r15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0257226800594343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.24330753330773,-5.55439797975953,-5.73663232359456,-1.32917343400994,0,0,0,0,0,0,0,-1.27135057153752,0,0,0,0,0,0,0,0,0,0,-6.33483346203057,-6.34484191826983,-6.3466064718205,-6.31864524527234,-5.36822566389285,-5.45106712191567,-5.42313972478616,-5.37283714505588,-5.28653510382463,-5.20841432410339,-5.12501199582464,-5.04478208472414,-5.66881324441543,-5.23950914532222,-4.06953815243437,-1.72089884188514,-0.770881638764784,0,0,0,-6.60555707211013,-12.031428875436,-14.1954186452591,-16.0373695194553,-16.9049373299848,-16.3568273324156,-15.9411932393959,-14.8605184356332,-13.6011044040967,-8.52066430101746,-2.51685133150637,-0.186306885933253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304832915898839,0.0458629232977227,-1.13197352134991,-3.04602858392393,-6.52712843308764,-13.007447003414,-8.23591391177937,-1.94975245486696,-1.91364882206366,-1.92346841433812,-8.0118853348531,-10.2561355446568,-24.892511517329,-28.803376152134,-14.6698822473368,-32.5342124292079,-33.1079934507836,-34.5159610076781,-34.605120687536,-34.703266252466,-34.7785478335687,-35.9629684830443,-34.865593645143,-34.865593645143,-34.865593645143,-34.865593645143,-34.865593645143,-34.865593645143,-34.865593645143,-34.865593645143,-34.865593645143,-34.865593645143,-34.865593645143,-34.865593645143,-34.865593645143,-34.865593645143,-34.865593645143,-34.865593645143
"c.hp25k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18324998427803,1.76797995354303,2.13898274353744,2.08137064034471,2.01948482319726,0,0,1.20767825569031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.56399746995736,14.1285909461331,16.5451470475328,18.2984345246085,19.2088182516895,18.6672758705398,18.296091703752,17.1650967846772,16.3302124061694,10.3742171605461,3.1037897930301,0.231640391031117,0,0,0,0,0,0,0,0.0410557518867809,0.0446266838135159,0.0593339477063398,0.0870488752120794,0.0542484056372847,0.145633549619532,0.151857475579903,0.203681368785203,0.311271321211425,0.382015075262908,1.53646623070075,3.76972853722769,8.10109393307575,15.9766151010919,10.5767927296887,4.32443457971727,4.25637635149229,4.26184305859372,12.1639178200789,13.6954704487091,29.0284594634685,33.6472212582556,16.995334723174,38.2392236037925,38.8301183577045,40.683648653344,40.748569259967,40.7977790643856,40.7895672914654,41.6078193265164,40.5791835155959,40.5791835155959,40.5791835155959,40.5791835155959,40.5791835155959,40.5791835155959,40.5791835155959,40.5791835155959,40.5791835155959,40.5791835155959,40.5791835155959,40.5791835155959,40.5791835155959,40.5791835155959,40.5791835155959,40.5791835155959
"c.hp221k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158648563793185,0.479315352360256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86451262358252,0,0.616035416238814,0,0,0,0,0,0.626773275962725,0.163184983808712,0.773590637997683,0.886269641376644,0.906384205246995,1.30818429065984,3.21041115848259,4.69705047984637,5.15492285651813,5.00553768535953,2.80127612042079,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441053797168531,2.00395719427917,5.43669938165853,6.00975972376324,2.38153936307583,2.63703447178045,0,0,0,0,0,0,0,0,0,0.599679338496714,0.402797547242548,0.130262537545321,-0.0149790651059292,-0.0186453491119053,-0.0184950195704978,-0.0105343966198792,0,0,0,0,0.047877787676623,0.0500942055633449,0.0673327798494457,0.0688026777108242,0,0.107850476118285,0.125903666053798,0.170323406000698,0.249838987711931,0.0271794310926553,-0.257792063232641,-0.433098135353019,-0.869385696349221,-1.17677757940925,-0.914852174287772,-0.714455231715615,-0.708495803370075,-0.932698324818904,-5.15930508257407,-7.38235461988601,-19.2646646927844,-23.2019947801601,-27.2601704446894,-22.0682653021808,-21.8788389049467,-18.0308040635888,-17.775258865711,-17.3057899836354,-16.987017992045,-17.0892758547062,-15.2672878787791,-15.2672878787791,-15.2672878787791,-15.2672878787791,-15.2672878787791,-15.2672878787791,-15.2672878787791,-15.2672878787791,-15.2672878787791,-15.2672878787791,-15.2672878787791,-15.2672878787791,-15.2672878787791,-15.2672878787791,-15.2672878787791,-15.2672878787791
"c.hp125k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.349549319409,10.01296756619,10.4256684963288,2.42995823070841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585473310108857,18.0834548712603,18.1094158357306,18.0807847884901,17.9609174313792,15.0905555266676,15.235957044897,15.1232046911763,14.9412617120321,14.674173259726,14.405680848632,14.1297003967391,13.8668897664172,15.734064361875,14.5384979647406,11.30563566072,4.79004802923326,2.16085299819646,0,0,-0.00537445700310437,0,0,0,0,0,0,0,0,0,0.328518477190888,-0.0408508255062191,-0.0594214075618847,-0.0645545462284036,-0.113504010425202,-0.116053128506739,-0.0771103439508491,-0.0749572875589907,-0.0727275709935039,-0.0589295890207985,-0.193824436276547,-0.159455275115438,-0.232433753331396,-0.242498467890313,-0.0861052658454288,-0.37205683280276,-0.406377430905577,-0.55596356627324,-0.909491818071653,-0.963278832484155,-0.211971162850626,0,-0.5496044071809,-1.30492722337347,0,0,0,0,-1.85603169651923,-0.780231816550282,1.17533341613057,1.55957586093678,7.22606884489778,-0.779469945757258,-0.997337057921841,-4.01784402199426,-4.11250996194826,-4.25117425142768,-4.25679095378331,-4.01167332414789,-4.99975304606698,-4.99975304606698,-4.99975304606698,-4.99975304606698,-4.99975304606698,-4.99975304606698,-4.99975304606698,-4.99975304606698,-4.99975304606698,-4.99975304606698,-4.99975304606698,-4.99975304606698,-4.99975304606698,-4.99975304606698,-4.99975304606698,-4.99975304606698
"c.hamilton28_panel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019742666116501,-0.0198980943650129,0,0,-0.536973891125094,-0.105895881205415,-0.0786345727649267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.50950469213353,-2.02303071919538,-1.82984903723578,-2.0067475110104,-1.92929794559934,-1.84401338273871,-1.12761647615625,-1.05209860855956,-0.876523253715236,-0.858504741028408,-0.657829859959677,-0.598292517448956,-0.554427294129465,-0.484133370373681,-0.268004109125346,-0.123561670318695,-0.0632327593009822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017165048505158,0,0,-0.115879771833572,-0.141646239963243,-0.24331603567438,-0.261239149519433,-0.194559012572316,-0.0517348526748388,0,0,0,0,0,0,0,0,0,0,0,0,0.0232961909873104,0.025232723545519,0.0273686215930908,0.0245872436365826,0.0247465144484553,0,0,0,0,0,0,0,0,0.028927486403288,0,0,0,0,0.0853043974347938,0.0415966052974586,0.278814296607473,0.357877326864936,0.200093156685292,0.436486436541808,0.4647702574973,0.526675069480573,0.527467635615549,0.531669914494457,0.535233628284346,0.552346421299628,0.538898596141487,0.538898596141487,0.538898596141487,0.538898596141487,0.538898596141487,0.538898596141487,0.538898596141487,0.538898596141487,0.538898596141487,0.538898596141487,0.538898596141487,0.538898596141487,0.538898596141487,0.538898596141487,0.538898596141487,0.538898596141487
