"1970-10-01","1971-01-01","1971-04-01","1971-07-01","1971-10-01","1972-01-01","1972-04-01","1972-07-01","1972-10-01","1973-01-01","1973-04-01","1973-07-01","1973-10-01","1974-01-01","1974-04-01","1974-07-01","1974-10-01","1975-01-01","1975-04-01","1975-07-01","1975-10-01","1976-01-01","1976-04-01","1976-07-01","1976-10-01","1977-01-01","1977-04-01","1977-07-01","1977-10-01","1978-01-01","1978-04-01","1978-07-01","1978-10-01","1979-01-01","1979-04-01","1979-07-01","1979-10-01","1980-01-01","1980-04-01","1980-07-01","1980-10-01","1981-01-01","1981-04-01","1981-07-01","1981-10-01","1982-01-01","1982-04-01","1982-07-01","1982-10-01","1983-01-01","1983-04-01","1983-07-01","1983-10-01","1984-01-01","1984-04-01","1984-07-01","1984-10-01","1985-01-01","1985-04-01","1985-07-01","1985-10-01","1986-01-01","1986-04-01","1986-07-01","1986-10-01","1987-01-01","1987-04-01","1987-07-01","1987-10-01","1988-01-01","1988-04-01","1988-07-01","1988-10-01","1989-01-01","1989-04-01","1989-07-01","1989-10-01","1990-01-01","1990-04-01","1990-07-01","1990-10-01","1991-01-01","1991-04-01","1991-07-01","1991-10-01","1992-01-01","1992-04-01","1992-07-01","1992-10-01","1993-01-01","1993-04-01","1993-07-01","1993-10-01","1994-01-01","1994-04-01","1994-07-01","1994-10-01","1995-01-01","1995-04-01","1995-07-01","1995-10-01","1996-01-01","1996-04-01","1996-07-01","1996-10-01","1997-01-01","1997-04-01","1997-07-01","1997-10-01","1998-01-01","1998-04-01","1998-07-01","1998-10-01","1999-01-01","1999-04-01","1999-07-01","1999-10-01","2000-01-01","2000-04-01","2000-07-01","2000-10-01","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01","2021-04-01","2021-07-01"
"c.hp400k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000798064454874829,0.000374634672855329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139417311154267,0.0480335807312163,0.00955677822416975,0.00659970233010531,0.0035509983739106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00376746337734261,0,0,0,0,0,-0.0042026195360656,-0.00723651764712485,-0.0147876557416174,-0.0367631767452616,-0.0407510913664698,-0.0352586717859233,-0.038655010548911,-0.0272320290000524,-0.0243003047402464,-0.0262726738976865,-0.0243839783555461,-0.0211433022487385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0412581929454779,-0.0460502416260193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c.hp400k_r15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c.hp400k_r20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0148624098688125,-0.0511096103544356,-0.0101148002025347,-0.00694889892791511,-0.00372431128073747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00295119159129017,0,0,0,0,0,-0.274507907072898,-0.299904844401783,-0.312661220041938,-0.286511768775037,-0.298416699528896,-0.324687625786666,-0.372351891358174,-0.418253491155253,-0.426911997609568,-0.438435612690032,-0.431774606013352,-0.420859506287241,-0.421985213484996,-0.430832212854504,-0.499129659469833,-0.499537622593733,-0.494714310928074,-0.49005400714254,-0.483104816655433,-0.483490996868695,-0.430843806738496,-0.434476181040099,-0.408199501738327,-0.410210169568888,-0.400722236990281,-0.396880591030294,-0.402019801862185,-0.337888475673871,-0.315569947637424,-0.295163390100039,-0.30300006788415,-0.316465553512847,-0.369977634335824,-0.320958067601792,-0.288270908290893,-0.269343297635067,-0.337761289901181,-0.312895048891441,-0.302877871870549,-0.300961320181619,-0.299365128739354,-0.318909435163602,-0.31427191904178,-0.278227998099751,-0.262900875369452,-0.288575910099783,-0.330395346805162,-0.290025529648098,-0.261992456339533,-0.261992456339533,-0.261992456339533,-0.261992456339533,-0.261992456339533,-0.261992456339533,-0.261992456339533,-0.261992456339533,-0.261992456339533,-0.261992456339533,-0.261992456339533,-0.261992456339533,-0.261992456339533,-0.261992456339533,-0.261992456339533,-0.261992456339533
"c.hp3k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126232940475333,0.196577069377735,0.241188598061872,0.242145070776499,0.3137077713364,0.558860208074865,0.737685811306492,0.607889742501913,0.535678701098867,0.540825604462552,0,0,0,0,0,0,0,0,0,0,0,0.0287210979194175,0.0220398461569676,0.00401178691052121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013767605798438,0.0360823178933024,0.099625191918335,0.0961455674530357,0.0622652478772785,0.0304725736311356,0,0,0,0,0,0,0,0,0,0,0,0.00147605752162184,0.00148589852401749,0.00138068956044802,0.00124879577459208,0.00115170702770927,0.00169314025898824,0.00277236280232816,0.0047253729985185,0.00715842730894016,0.122923559654353,0.183441294813086,0.191457889756741,0.170385535791106,0.226500676803023,0.007914327752029,0.203414818753937,0.166804941080492,0.136090660126148,0.14922884457861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c.hp3k_r20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126251002588454,0.196606143645408,0.23726619803776,0.245593025415606,0.313921686617971,0.553488745176505,0.746540442131721,0.586999543319096,0.54099736106948,0.517328922371688,0,0,0,0,0,0,0,0,0,0,0,0,0.021671250236744,0.00398003789536712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135037147818118,0.0355626419169517,0.0992122086288138,0.0953259116132671,0.0619479549442954,0.030801154711788,0,0,0,0,0,0,0,0,0,0,0,0.00146324619168696,0.00147704804380661,0.00136340865036897,0.00122679124077738,0.00113010636196359,0.00167036232487795,0.00271084839562622,0.00361856000784784,0.00714512905556806,0.123896503711753,0.181684082049851,0.18825860026539,0.168796295778898,0.00763322086209319,0.00784459695376672,0.00535076186187255,0.166694209426595,0.135572741966828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c.hp25k_r15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c.hp25k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c.hp221k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013422932375768,0.000449577406734102,0.000364386849773382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00370788993412418,-0.00698192074654379,-0.0148214762441083,-0.0377441734655572,-0.0482508939345603,-0.0338060053804629,-0.0310707349181683,-0.0353862686577342,-0.0361366041105718,-0.0441543158004047,-0.0439881191326118,-0.0450616285804324,-0.0537409541274196,-0.060074849723666,0,0,0,0,0,0,0,0,-0.0429238985157342,-0.0453608633490897,-0.0425629730455037,-0.0411541007664506,-0.0414229657942089,0,0,0,0,0,0,0,0,0,0,-0.0429159456634869,-0.0447626141224265,-0.0536200971130433,-0.0535791612120156,-0.0630120352050994,-0.0657051966230675,-0.059032473267243,-0.058680600919533,-0.0637638600603438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c.hp125k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0191669534662239,-0.0185528577610206,0,0,0,0,0,-0.0163755909828448,-0.0195091599709733,-0.0275080492272908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000671791548051268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c.hamilton28_panel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000865181537103076,-0.000334661776638593,-0.000133544729032481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.04026847610272,-1.39566003212209,-1.48395404760652,-1.50694150600129,-1.42913552376828,-1.36442812326635,-1.28763171849791,-1.20538838376908,-1.12639756705397,-1.10867392613521,-1.08116609971467,-1.08026841206795,-1.06196716554766,-1.12477898352743,-4.52617440590269,-4.58792868178899,-3.47557542962291,-0.99210629853083,-0.0984332637949035,-0.0047720877279795,-0.000673614521514637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000313370096849607,0.00047465604883582,0.000657545468798909,0.000882546057779159,0.00150233817417546,0.00235582381631856,0.00298268183334307,0.00423506921357344,0.00557269086756077,0.0068909378771723,0.00973671511667503,0.00892093600651076,0.0075421305220891,0.00636166605041825,0.00572008207565207,0.00653751378218611,0.00703490719885882,0.00796577034525116,0.0107002401940463,0.0114257895689304,0.0162083294312179,0.0140084343118549,0.0117022899652191,0.0109490942331981,0.0107970892950503,0.00773481020341974,0.00565429705238609,0.00166085767344098,0.000618103764800722,0.000743407238903124,0.000321815145136429,0.00030499795327929,0,0,0,0,0,0,0,0.000311147446312648,0.000369040421868637,0.000369040421868637,0.000369040421868637,0.000369040421868637,0.000369040421868637,0.000369040421868637,0.000369040421868637,0.000369040421868637,0.000369040421868637,0.000369040421868637,0.000369040421868637,0.000369040421868637,0.000369040421868637,0.000369040421868637,0.000369040421868637,0.000369040421868637
