"Cycles","BIC","AIC","AUC","psAUC","c.Threshold","Type I","Type II","Policy Loss Function","Std.AUC","Std.psAUC","Std.Type I","Std.Type II","Std.Loss Function","c.Threshold.1","Type I.1","Type II.1","Policy Loss Function.1","Std.Type I.1","Std.Type II.1","Std.Loss Function.1"
"null",0,0,0.5,0.5,NA,1,0,1,0,0,0,0,0,NA,1,0,1,0,0,0
"1_sided weighted_cycle",-128.874928070521,-134.943017696799,0.754481380973915,0.688854590682949,3.97722067412373,0.295854063018242,0.329545454545455,0.196129833215972,0.0177255004411099,0.0196036500590738,0.00812688259383353,0.0376855287569573,0.0292186872331449,3.97722067412373,0.295854063018242,0.329545454545455,0.196129833215972,0.00634582191085389,0,0.0109510153904387
"c.hamilton13_panelr15",-116.92597939274,-122.994069019018,0.728222523744915,0.684570330167345,8.91944094485191,0.342951907131012,0.329545454545455,0.226216217216368,0.0174042118868231,0.0178940712139672,0.00854570683994989,0.0347866419294991,0.0283909552244595,8.91944094485191,0.342951907131012,0.329545454545455,0.226216217216368,0.00549971232274004,0,0.00986664807751273
"c.hamilton28_panelr15",-141.577214454009,-147.645304080287,0.749063395145487,0.682509045680687,13.891951275573,0.333001658374793,0.329545454545455,0.219490311091932,0.018399962135064,0.0188427355338336,0.00897087690797711,0.0347866419294991,0.0285129156950334,13.891951275573,0.333001658374793,0.329545454545455,0.219490311091932,0.00549971232274005,0,0.0099067786483586
"c.hamilton28_panelr20",-147.432233713272,-153.50032333955,0.751392657922507,0.681060606060606,14.3641007374712,0.328026533996683,0.329545454545455,0.216201613617447,0.0184600814246043,0.0190421097204146,0.00863243307273156,0.0347866419294991,0.0281956624849946,14.3641007374712,0.328026533996683,0.329545454545455,0.216201613617447,0.00558432328155143,0,0.00999806868119886
"c.bn6_r20",-90.1021889643973,-96.1702785906757,0.733759234132365,0.675050881953867,0.927341906063424,0.374792703150912,0.329545454545455,0.249069776946738,0.0182637183855331,0.0165957593179741,0.00871492875757269,0.0362360853432282,0.0297891257278744,0.927341906063424,0.374792703150912,0.329545454545455,0.249069776946738,0.00414593698175788,0,0.00782571388496984
"c.hamilton28_panel",-129.172965201795,-135.241054828074,0.73824061510629,0.673991406603347,11.4841061796394,0.363515754560531,0.329545454545455,0.240743910425282,0.0187066753576691,0.0185926091942883,0.00871704403154296,0.0347866419294991,0.0288726413262494,11.4841061796394,0.363515754560531,0.329545454545455,0.240743910425282,0.00617659999323112,0,0.0106794745488271
"c.hamilton13_panel",-122.005386690971,-128.073476317249,0.720831448816524,0.668400045228403,7.24363413981473,0.350912106135987,0.329545454545455,0.231739512844364,0.0182389454997264,0.0179733218762403,0.00905548786678848,0.0347866419294991,0.0288967028658343,7.24363413981473,0.350912106135987,0.329545454545455,0.231739512844364,0.00600737807560835,0,0.0104865110487319
"c.ma",-97.4867734791678,-103.554863105446,0.713292439318558,0.667652645861601,6.5125,0.382752902155887,0.329545454545455,0.255099990720324,0.0180670733355901,0.0173261850533972,0.00879953971638407,0.0347866419294991,0.0292741926064398,6.5125,0.382752902155887,0.329545454545455,0.255099990720324,0.00584027143195586,0,0.0103149556822391
"c.bn6",-104.140428263241,-110.208517889519,0.704153475048997,0.642574626865672,0.897741330120692,0.393366500829187,0.329545454545455,0.263337410586169,0.0198302134944412,0.0183330578669731,0.00854782211392021,0.0333371985157699,0.0281317564996647,0.897741330120692,0.393366500829187,0.329545454545455,0.263337410586169,0.00355577554404846,0,0.00680966397536465
"c.hp125k",-92.8331286983641,-98.9012183246425,0.697700889491934,0.639743328810493,3.69723913306359,0.3787728026534,0.329545454545455,0.252069042641481,0.0195196829923466,0.018452409797026,0.00854782211392018,0.0348228780148422,0.0290331333379401,3.69723913306359,0.3787728026534,0.329545454545455,0.252069042641481,0.00439976985819203,0,0.00821874090923297
"c.hp400k",-113.982635137646,-120.050724763924,0.712435926428468,0.638999321573948,4.20643406634942,0.371144278606965,0.329545454545455,0.246348282154255,0.020037346246293,0.0196188367646923,0.00863243307273159,0.0362360853432282,0.0304736838541039,4.20643406634942,0.371144278606965,0.329545454545455,0.246348282154255,0.00592276711679697,0,0.0104272132192233
"c.hp221k",-104.119044197101,-110.18713382338,0.706965174129358,0.638774310266848,4.11189036076308,0.36318407960199,0.329545454545455,0.240502882287915,0.0197677916515368,0.0200894155151884,0.00888415067519544,0.0348228780148422,0.029406606281226,4.11189036076308,0.36318407960199,0.329545454545455,0.240502882287915,0.0051612684874945,0,0.00943407981246506
"c.stm_r15",-86.6062750031815,-92.6743646294599,0.698918287351123,0.638172772501131,3.99232137191601,0.357213930348259,0.329545454545455,0.236201998646421,0.0194872204107687,0.019954711022808,0.00846109588113854,0.0347866419294991,0.0285714866665934,3.99232137191601,0.357213930348259,0.329545454545455,0.236201998646421,0.00406132602294649,0,0.00767274063903922
"c.stm",-89.9073092950302,-95.9753989213086,0.69292363937886,0.635723654454998,3.15070531624264,0.401658374792703,0.329545454545455,0.269929656652686,0.0196812230638105,0.018832769708969,0.00879953971638407,0.0347866419294991,0.029601074347148,3.15070531624264,0.401658374792703,0.329545454545455,0.269929656652686,0.00439976985819203,0,0.00824500819196848
"c.hp400k_r15",-73.5901500390739,-79.6582396653523,0.686917684305742,0.635663726820443,4.34117558021364,0.345605306799337,0.329545454545455,0.228043234699434,0.0194308726332218,0.0209765253625195,0.00871492875757269,0.0362360853432282,0.029721072501654,4.34117558021364,0.345605306799337,0.329545454545455,0.228043234699434,0.00397671506413511,0,0.00753267652778629
"c.linear",-111.956963069937,-118.025052696215,0.706884139906524,0.635594753505201,5.05545502229214,0.422222222222222,0.329545454545455,0.286871811549842,0.0205505084098862,0.0177800483320872,0.00905548786678851,0.0362360853432282,0.0313269225685935,5.05545502229214,0.422222222222222,0.329545454545455,0.286871811549842,0.00448438081700342,0,0.00830391313476954
"c.hp400k_r20",-93.8576136946012,-99.9257033208796,0.699050203527816,0.633989145183175,4.21383266952404,0.369485903814262,0.329545454545455,0.245120039729012,0.0197240516535408,0.0192687709412123,0.00863243307273156,0.0347866419294991,0.0289113097972763,4.21383266952404,0.369485903814262,0.329545454545455,0.245120039729012,0.00473821369343757,0,0.00877237440688838
