"Cycles","BIC","AIC","AUC","psAUC","c.Threshold","Type I","Type II","Policy Loss Function","Std.AUC","Std.psAUC","Std.Type I","Std.Type II","Std.Loss Function","c.Threshold.1","Type I.1","Type II.1","Policy Loss Function.1","Std.Type I.1","Std.Type II.1","Std.Loss Function.1"
"null",0,0,0.5,0.5,NA,1,0,1,0,0,0,0,0,NA,1,0,1,0,0,0
"1_sided weighted_cycle",-127.53079296516,-133.913540060023,0.718156124249738,0.64540301324248,2.88923434218901,0.353209906227459,0.330188679245283,0.233781801758954,0.0174037928955731,0.0171741659254491,0.00754449411406783,0.0312860993453985,0.0256859897978102,2.88923434218901,0.353209906227459,0.330188679245283,0.233781801758954,0.00509253352699579,0,0.00894955523815196
"c.bn6_r20",-108.067866436676,-114.45061353154,0.704761667127893,0.637944761757861,0.701205323292869,0.389757153161818,0.330188679245283,0.260935202342549,0.0184370916651859,0.0176017682701747,0.00754449411406783,0.0312860993453985,0.0262519629075936,0.701205323292869,0.389757153161818,0.330188679245283,0.260935202342549,0.00325087957760647,0,0.0061914443698535
"c.hamilton28_panel",-149.851828985299,-156.234576080163,0.710714885200082,0.635860398227078,9.98558421479025,0.385429189709065,0.330188679245283,0.257580224181531,0.0184999603832866,0.0167506474330944,0.00778984351615137,0.0312860993453985,0.026368472902572,9.98558421479025,0.385429189709065,0.330188679245283,0.257580224181531,0.00546055763012105,0,0.00944407971805759
"c.ma",-120.810817940569,-127.193565035432,0.692211026779836,0.631255585749477,5.8625,0.395046886270738,0.330188679245283,0.26508660625395,0.0180733598309449,0.0171312681159286,0.00773003959939347,0.0312860993453985,0.0264654549282883,5.8625,0.395046886270738,0.330188679245283,0.26508660625395,0.00466163863958664,0,0.00840193393660532
"c.hamilton13_panelr15",-126.296817655516,-132.67956475038,0.69244012757057,0.63110712390043,6.93577516565319,0.415484491464294,0.330188679245283,0.281651926549088,0.0180289444828365,0.0170038636397094,0.00754602754783088,0.0312860993453985,0.0266378543438499,6.93577516565319,0.415484491464294,0.330188679245283,0.281651926549088,0.00472297599010751,0,0.00843412904028095
"c.hamilton28_panelr20",-164.601476251781,-170.984223346645,0.71578005416758,0.630199340371189,11.4955193282205,0.378696802115893,0.330188679245283,0.252435831834548,0.0189168506404008,0.0188486104960659,0.00767023568263564,0.0325194936465152,0.0268337108447496,11.4955193282205,0.378696802115893,0.330188679245283,0.252435831834548,0.00472297599010751,0,0.00843640024777805
"c.hamilton28_panelr15",-154.453320298802,-160.836067393666,0.709106643015585,0.627043873935589,11.7953593363742,0.379177686943977,0.330188679245283,0.252800282177929,0.0189537583758019,0.0187753181487361,0.00736201549626823,0.0312860993453985,0.0259555400864052,11.7953593363742,0.379177686943977,0.330188679245283,0.252800282177929,0.00466163863958664,0,0.00839969222530953
"c.hamilton13_panel",-133.934720142189,-140.317467237052,0.692218965916147,0.624958829907407,5.3570293017137,0.413080067323876,0.330188679245283,0.279659705922042,0.0184182524901151,0.0162629026588746,0.00748315676354698,0.0324894108586831,0.0274771081100139,5.3570293017137,0.413080067323876,0.330188679245283,0.279659705922042,0.00496832539219102,0,0.00882448176776026
"c.bn2_r20",-109.312773149795,-115.695520244658,0.696255449649996,0.621791795016037,0.278128823967082,0.408030776628997,0.330188679245283,0.275513678578207,0.018825390827333,0.0170894205638721,0.00760583146458872,0.0336927223719676,0.0281388817677331,0.278128823967082,0.408030776628997,0.330188679245283,0.275513678578207,0.00343642506293212,0,0.00650270525508589
"c.linear",-135.406902676244,-141.789649771107,0.687863782567486,0.620449173649326,4.25212643678159,0.453714835296946,0.330188679245283,0.31488171567028,0.0191472030766998,0.0147285546221374,0.00772850616563046,0.0324894108586831,0.0283150951878201,4.25212643678159,0.453714835296946,0.330188679245283,0.31488171567028,0.00435648532074527,0,0.0079199991820202
"c.bn6",-132.7914743495,-139.174221444363,0.683547160738019,0.611315537570261,0.575745297038207,0.414763164222169,0.330188679245283,0.28105304629733,0.0194199564376191,0.0185219587251941,0.00742335284678911,0.0324894108586831,0.0274616262821598,0.575745297038207,0.414763164222169,0.330188679245283,0.28105304629733,0.00312820487656472,0,0.00598638677869167
"c.bn2_r15",-83.9469344400495,-90.3296815349129,0.674926392864764,0.604730364247574,0.122930944094346,0.483770137052176,0.330188679245283,0.343058109405226,0.0191810391629146,0.0141026662721325,0.00772850616563048,0.0324894108586831,0.0287833768790293,0.122930944094346,0.483770137052176,0.330188679245283,0.343058109405226,0.00337355427864822,0,0.00637641504795706
"c.poly4_r20",3.5737759974179,-2.80897109744546,0.577210368965681,0.601115562068168,0.0385121107737234,0.509737917768694,0.330188679245283,0.368857308712909,0.0153555044123308,0.0139964340316101,0.00766870224887262,0.032519493646515,0.0291378552408024,0.0385121107737234,0.509737917768694,0.330188679245283,0.368857308712909,0.00318954222708559,0,0.00609993240544336
"c.hp400k",-121.591008308471,-127.973755403335,0.673284125810359,0.5959852921829,3.06992490689953,0.444097138735273,0.330188679245283,0.306246832534601,0.0197333385124029,0.0171788660445964,0.00785118086667222,0.0324894108586831,0.0285856726907103,3.06992490689953,0.444097138735273,0.330188679245283,0.306246832534601,0.00509100009323277,0,0.00893954644887686
"c.bn4",-169.118646665554,-175.501393760417,0.689240655636547,0.594278604708135,1.29033817188954,0.383746092810772,0.330188679245283,0.256285627649278,0.0204080685660036,0.0213512915748034,0.00760583146458872,0.0312860993453985,0.0261992384478408,1.29033817188954,0.383746092810772,0.330188679245283,0.256285627649278,0.00312973831032773,0,0.00595468646457458
"c.stm_r15",-79.5530899147466,-85.9358370096099,0.657504525307695,0.592447386209493,2.01554596185139,0.477518634287088,0.330188679245283,0.33704860999315,0.0192747516473367,0.0156803786583795,0.00785118086667222,0.0324894108586831,0.028803965227509,2.01554596185139,0.477518634287088,0.330188679245283,0.33704860999315,0.00380291573229436,0,0.00712669517131577
"c.hp125k",-92.2897090734825,-98.6724561683459,0.656204775277081,0.592443303225104,2.20144088057926,0.471748016350084,0.330188679245283,0.331570754831984,0.0194126574040952,0.0162732272973337,0.00779137694991436,0.0324894108586831,0.0286512324133553,2.20144088057926,0.471748016350084,0.330188679245283,0.331570754831984,0.00398692778385699,0,0.00739580376351451
"c.hp221k",-106.884202931113,-113.266950025977,0.6656376033789,0.592120066960944,2.70645726688198,0.455878817023323,0.330188679245283,0.316850059712329,0.0196121691675806,0.0163761655485369,0.0077300395993935,0.0313161821332306,0.0271487228196463,2.70645726688198,0.455878817023323,0.330188679245283,0.316850059712329,0.0045404973723079,0,0.00827745553363889
"c.hp400k_r15",-67.122752763051,-73.5054998579144,0.647199526373808,0.591222490892677,2.62226576277818,0.459245010819909,0.330188679245283,0.319930543864722,0.019011573434683,0.0161429866919707,0.00766870224887259,0.0324894108586831,0.0283400681373996,2.62226576277818,0.459245010819909,0.330188679245283,0.319930543864722,0.00374157838177348,0,0.00704143640157279
"c.stm",-89.2227721479892,-95.6055192428526,0.652325940107155,0.590334441787984,2.12112085502486,0.473431113248377,0.330188679245283,0.333161582893342,0.0195162775021613,0.0154134179666867,0.00803519291823487,0.0324894108586831,0.0289121720418326,2.12112085502486,0.473431113248377,0.330188679245283,0.333161582893342,0.00398692778385699,0,0.00742072805357952
"c.bn3_r15",-144.481706358191,-150.864453453055,0.668708914969584,0.588167057574617,0.166186170587598,0.487376773262804,0.330188679245283,0.346560683017807,0.0202275923963641,0.015632084174658,0.0076687022488726,0.0336927223719676,0.0294052598649465,0.166186170587598,0.487376773262804,0.330188679245283,0.346560683017807,0.0042322771859405,0,0.00782650729431793
"c.hp400k_r20",-88.8449777106391,-95.2277248055025,0.654540959138407,0.587093913177605,2.66395325623773,0.45948545323395,0.330188679245283,0.320151445635353,0.0195352073455194,0.0159601507551716,0.00767023568263561,0.0312860993453985,0.0274160474506486,2.66395325623773,0.45948545323395,0.330188679245283,0.320151445635353,0.0042322771859405,0,0.00779190825023955
