"Cycles","AUC","psAUC","c.Threshold","Type I","Type II","Policy Loss Function","Std.AUC","Std.psAUC","std.cThreshold","Std.Type I","Std.Type II","Std.Loss Function"
"null",0.5,0.5,NA,1,0,1,0,0,0,0,0,0
"1_sided weighted_cycle",0.747519222071462,0.679095545002261,3.16981336344714,0.336252072968491,0.274431818181818,0.18939247032423,0.0110100819891598,0.0162004419776124,1.00398600968553,0.0207518878699847,0.0263863212225274,0.0176596802303964
"c.hamilton28_panelr15",0.744905585707825,0.676907734056988,12.2916649033097,0.36636815920398,0.260795454545455,0.203516513128621,0.00359493457626558,0.00433856702488763,1.21968523017615,0.0221311136128328,0.0304741852095725,0.00444716672995916
"c.hamilton13_panelr15",0.722418023518772,0.676167571234735,7.17682472734693,0.382487562189055,0.269886363636364,0.22085879368637,0.00511251071716182,0.0077562625774068,1.5824308262694,0.0279215249343294,0.0336940281716992,0.00711194401975834
"c.hamilton28_panelr20",0.747760440223129,0.675845884215287,12.2367068039854,0.36212271973466,0.275568181818182,0.20886896531258,0.00324428424477254,0.00553961607717243,1.28172653888397,0.0257279447945395,0.0365535209576113,0.00315932994091048
"c.hamilton28_panel",0.733836310869894,0.668784938941655,9.40666875449473,0.387296849087894,0.271022727272727,0.223799526456624,0.00322606936969553,0.00491349932175874,1.41487212827273,0.0115976151441795,0.0158571482491928,0.00861597215305421
"c.hamilton13_panel",0.717420850293986,0.66551209859792,6.61219018048253,0.372072968490879,0.304545454545455,0.232466779157802,0.0028076825331397,0.00250645555781266,1.00476781901127,0.0247130861002358,0.0284973376875819,0.00473490480619422
"c.ma",0.707840155284184,0.66104083747927,6.27812499999999,0.401293532338308,0.285795454545455,0.243766655823308,0.00375808826761811,0.00487430562046058,1.01768754243519,0.0175118584869363,0.0293468949523202,0.00911950345425241
"c.hp125k",0.694216041007087,0.636724898236092,3.65730607022902,0.400729684908789,0.299431818181818,0.250601865236737,0.00320928199848013,0.00391202454839076,0.643108478313621,0.0135051410903778,0.0146826116994805,0.00569442356574818
"c.hp400k",0.710266282225236,0.636397557666214,4.18416939919398,0.385373134328358,0.3,0.239330037522824,0.00175160429167194,0.00376053761261852,0.979197913185238,0.023013903282139,0.0194624736040381,0.00757049197932062
"c.hp400k_r15",0.684001206090759,0.6342210538218,4.11159340730396,0.366169154228856,0.314772727272727,0.233772634939785,0.00230752860132387,0.00236289963870358,0.860326420468061,0.0206463036542703,0.0158910431540932,0.00773260193423247
"c.bn6_r20",0.706532677521481,0.632739936680235,0.859988650531305,0.400364842454395,0.311363636363636,0.259648358003428,0.0199135100117279,0.0295170324860724,0.679374912274581,0.0465702430162793,0.022537083000975,0.0438181096990661
"c.stm",0.689208502939845,0.632649027589326,3.26549139854312,0.410348258706468,0.307954545454545,0.263929451922791,0.00352106232693412,0.00453257190905463,0.638049499807685,0.0169011816037341,0.022377356799609,0.0108835361796648
"c.hp221k",0.701686265641488,0.632485753052917,3.35731573219724,0.382023217247098,0.309090909090909,0.242455801344506,0.00398009214604415,0.00585383511005896,1.1768419283515,0.0267974757028651,0.0191653191525356,0.0117081067291796
"c.stm_r15",0.692787200361827,0.632447195838987,4.20401235077017,0.369320066334992,0.326136363636364,0.242904256747025,0.00611390051658148,0.00544727091728019,0.490590155957685,0.0119169868459143,0.00397276078852327,0.00888650648422918
"c.linear",0.70171943313734,0.628748869289914,5.50680509040296,0.431144278606965,0.307386363636364,0.281016695760972,0.00491241818051168,0.00707587001246061,1.21217788940309,0.0150175887205575,0.0221599002701193,0.0116071416983523
"c.hp400k_r20",0.693433401175937,0.628099841700588,4.06412778314839,0.398474295190713,0.3125,0.257107481859317,0.00359166593708564,0.00485874280448426,1.32865536149628,0.0212065728071119,0.0171503506404118,0.0118531331211348
"c.stm_r20",0.684006859641189,0.624374265038444,2.51482809451239,0.423482587064677,0.313068181818182,0.278201061648,0.0033596355174507,0.00342905213035174,0.449988232952615,0.0211728851892259,0.0223211826039183,0.00777536656024071
"c.hp25k_r15",0.651257161163879,0.609229194934419,1.4483552822864,0.447761194029851,0.303409090909091,0.293232398399911,0.00217006753483311,0.00284327522992918,0.90225023413035,0.0200308976269253,0.0189772349240536,0.010237167278062
"c.quad",0.697157960199004,0.607882519222071,2.15446397325562,0.416716417910448,0.324431818181818,0.279359112547012,0.00262750418255181,0.0023861383066868,0.633896437853861,0.0204560976961003,0.00906324705606468,0.0123543960004675
"c.bn2_r20",0.681821762400119,0.607849389416554,0.197153811171008,0.459038142620232,0.315909090909091,0.311214045491156,0.00742884294645085,0.0120539850620208,0.198694990052841,0.0214500235822281,0.0178070595053684,0.022692663184883
"c.bn6",0.67608265490728,0.606090909090909,0.783227831800162,0.465207296849088,0.315340909090909,0.31967424863032,0.026062453892901,0.0310566308034441,0.843633659998187,0.0637700540294349,0.0131897616261213,0.0698980914413802
"c.hp25k",0.653009950248755,0.605830167345093,1.91875441944378,0.45346600331675,0.298863636363636,0.295510605413824,0.00313728486257423,0.00494316300979824,0.533719894637969,0.0145448703230933,0.0202571847835166,0.00949468491849931
"c.bn4",0.682601198552689,0.60148790140208,1.31918536023776,0.43273631840796,0.31875,0.290767789412162,0.0122843872634486,0.0165383283861882,1.44975704203234,0.0434925946314999,0.0150207424688624,0.0396456959523893
"c.hamilton13",0.628535165083671,0.598462460425147,3.34287127884349,0.464742951907131,0.309659090909091,0.312350198491996,0.00286158697233748,0.00317977124441453,0.620076832910738,0.0152424602390434,0.0172025588300994,0.0113375149122154
"c.bn2_r15",0.662005879692446,0.597206241519674,0.168921318641034,0.506334991708126,0.316477272727273,0.357118577389923,0.00621348800151246,0.00887083582949878,0.277271726851747,0.0229856037478938,0.0110596979701943,0.0249587127757106
