"Cycles","BIC","AIC","AUC","psAUC","c.Threshold","Type I","Type II","Policy Loss Function","c.Threshold1","Type I1","Type II1","Policy Loss Function1","Std.BIC","Std.AIC","Std.AUC","Std.psAUC","std.cThreshold","Std.Type I","Std.Type II","Std.Loss Function","std.cThreshold1","Std.Type I1","Std.Type II1","Std.Loss Function1"
"c.null",0,0,0.476700109333249,0.490711754562005,0,1,0,1,0,1,0,1,1.8172338103727,1.8172338103727,0.0127869688603044,0.00492856796809681,0,0,0,0,0,0,0,0
"1_sided weighted_cycle",-80.9637748083669,-80.9637748083669,0.713367917723315,0.640445657746102,2.99392586819571,0.370714113969704,0.320754716981132,0.241104510821796,2.75081287186626,0.365280115412359,0.330188679245283,0.242946132268472,5.06538500714702,5.06538500714702,0.00325268427019437,0.00374948370801646,0.651345837701779,0.0282118643758695,0.009168163356675,0.0163764984724873,0.726016965159007,0.0233810381639475,0,0.0172221189699896
"c.hamilton28_panel",-121.392848500053,-121.392848500053,0.707827194490686,0.631779455329882,9.64715735894342,0.404279874969945,0.307075471698113,0.258295705959665,10.1499194569197,0.392594373647511,0.330188679245283,0.263307922078096,1.74709535470803,1.74709535470803,0.0024655715475777,0.00317034307846515,0.308110659042473,0.0195090206411321,0.0154776411349996,0.011325153065318,1.32664032502411,0.0130390846930689,0,0.0103231379114438
"c.hamilton13_panelr15",-120.597535844019,-120.597535844019,0.69034498949765,0.629051205160892,6.60280259288496,0.412046164943496,0.307075471698113,0.264616439087392,7.2779534462573,0.402332291416206,0.330188679245283,0.270946446306268,2.59981295874268,2.59981295874268,0.00160925987582795,0.00186906050708711,0.53135752970847,0.0158307183151352,0.0186637273279546,0.00564451435657449,0.838638085916689,0.0074988657148795,0,0.00598761286439244
"c.ma",-98.5014514171885,-98.5014514171885,0.689173286394129,0.62757452580673,5.5675,0.404520317383987,0.311320754716981,0.261113293964446,5.838125,0.39632123106516,0.329716981132075,0.265848188656242,7.03406363779127,7.03406363779127,0.00177774231775371,0.00295512098701447,0.692919297449409,0.0145715068254681,0.0201356108095373,0.00591845698499924,0.570380370771217,0.00832535113700331,0.0014916404057398,0.00710610708377302
"c.hamilton28_panelr20",-139.005216209349,-139.005216209349,0.713393890040678,0.627173848938651,10.5537484751437,0.39103149795624,0.304245283018868,0.245844914973626,10.9916886298078,0.379033421495552,0.330188679245283,0.252739948996084,3.06423836459181,3.06423836459181,0.00182211283866196,0.00268882515130814,1.11478151535449,0.0119363508261573,0.0165281415421609,0.00700745537135475,1.46490957011071,0.00738244793146802,0,0.00562822995467691
"c.hamilton13_panel",-123.862679713963,-123.862679713963,0.689382766176553,0.622015066212397,5.19965266231546,0.42062995912479,0.313207547169811,0.2757245263219,5.24486679075236,0.410795864390478,0.330188679245283,0.277882854404165,4.92046042491585,4.92046042491585,0.00207522452031715,0.00335658889312638,0.687676522930121,0.0194109829164079,0.0199133838980976,0.0092211511137677,0.939813098080979,0.0108037186036515,0,0.00887148559494047
"c.hamilton28_panelr15",-132.746170758637,-132.746170758637,0.705189699991364,0.621733952737187,11.6613049928838,0.387424861745612,0.312735849056604,0.248607883024883,11.7876217368239,0.37747054580428,0.330188679245283,0.251902412738218,5.55291828697353,5.55291828697353,0.0040728882656352,0.00528526707898585,0.544840039711897,0.0245238296947832,0.0135348045387782,0.0141207798666869,1.03982909233468,0.0209187817441183,0,0.0164096471270165
"c.linear",-106.564695552154,-106.564695552154,0.684642081051788,0.615751564009854,4.01600592786759,0.462106275547007,0.311320754716981,0.310789194150466,4.09189910975167,0.455157489781197,0.330188679245283,0.316270072603372,4.834742721373,4.834742721373,0.00174050784647659,0.00280424230047625,1.53411253244127,0.0109708100169593,0.0155652436110246,0.0079573869087253,1.32597970753191,0.00925972148050729,0,0.00840566734409417
"c.bn2_r20",-76.7863116485914,-76.7863116485914,0.690757030672285,0.613662641146502,0.245810394553298,0.43270016830969,0.320754716981132,0.290745267997771,0.167267882864631,0.427434479442174,0.330188679245283,0.292035298363421,2.12054187350582,2.12054187350582,0.00429354613156005,0.00662057328484678,0.224804537416197,0.0238535894687408,0.0115541968999206,0.0148800044609565,0.15155107050089,0.018574182969154,0,0.0157371898313364
"c.bn6_r20",-86.4636132351523,-86.4636132351523,0.675699097660451,0.598666792180631,0.214356998629814,0.471291175763405,0.32311320754717,0.328628312608456,0.619639190456788,0.469319547968262,0.330188679245283,0.331323218817508,2.89246454187515,2.89246454187515,0.0160404125792852,0.0205211683634123,1.14657166060996,0.0470694915562933,0.0113925917815955,0.0445223107503855,0.65077178223572,0.0475840403990727,0,0.0436899848506084
"c.bn6",-101.273698674682,-101.273698674682,0.669276109551009,0.593504334768427,0.395572167691657,0.461144505890839,0.325,0.320314241957425,0.386163930867061,0.459749939889396,0.330188679245283,0.322437949508419,4.0553154977743,4.0553154977743,0.012995329188751,0.0176280597830029,0.612465236978038,0.0471620642834452,0.00606926385711282,0.0459400783370937,0.614400261994775,0.0476489288485244,0,0.0465803568457393
