"Cycles","BIC","AIC","AUC","psAUC","c.Threshold","Type I","Type II","Policy Loss Function","Std.AUC","Std.psAUC","Std.Type I","Std.Type II","Std.Loss Function"
"null",0,0,0.5,0.5,NA,1,0,1,0,0,0,0,0
"1_sided weighted_cycle",-128.874928070521,-134.943017696799,0.754481380973915,0.688854590682949,3.54864894887158,0.317744610281924,0.284090909090909,0.181669281991311,0.0177255004411099,0.0190047991720433,0.00854570683994989,0.03333719851577,0.0245532073544375
"c.hamilton13_panelr15",-116.92597939274,-122.994069019018,0.728222523744915,0.684570330167345,8.7999889306218,0.346932006633499,0.301136363636364,0.211044926730879,0.0174042118868231,0.0170582110897276,0.00905337259281822,0.0333371985157699,0.026564324696134
"c.hamilton28_panelr15",-141.577214454009,-147.645304080287,0.749063395145487,0.682509045680687,11.5509923392342,0.383416252072968,0.221590909090909,0.196110553345418,0.018399962135064,0.0185573538268768,0.00854570683994989,0.0304383116883117,0.0202072738540757
"c.hamilton28_panelr20",-147.432233713272,-153.50032333955,0.751392657922507,0.681060606060606,13.1071547500998,0.348922056384743,0.289772727272727,0.205714834902832,0.0184600814246043,0.0198475964334172,0.00879953971638407,0.0347866419294991,0.0263011471953014
"c.bn6_r20",-90.1021889643973,-96.1702785906757,0.733759234132365,0.675050881953867,0.658070839020992,0.412603648424544,0.227272727272727,0.221894663255228,0.0182637183855331,0.0174158125767268,0.00888415067519547,0.0318877551020408,0.0218345400516899
"c.hamilton28_panel",-129.172965201795,-135.241054828074,0.73824061510629,0.673991406603347,9.76743423951202,0.397678275290216,0.238636363636364,0.215095324687387,0.0187066753576691,0.0182539297944415,0.00905337259281822,0.0318877551020408,0.0224168122637198
"c.hamilton13_panel",-122.005386690971,-128.073476317249,0.720831448816524,0.668400045228403,7.22470925856766,0.350912106135987,0.323863636363636,0.228026961191472,0.0182389454997264,0.0178950230872539,0.00854993738789045,0.0347866419294991,0.0285299739764369
"c.ma",-97.4867734791678,-103.554863105446,0.713292439318558,0.667652645861601,6.03750000000001,0.407296849087894,0.272727272727273,0.240270888566183,0.0180670733355901,0.0171355531979866,0.00930932074322263,0.0347866419294991,0.0265639441187
"c.bn6",-104.140428263241,-110.208517889519,0.704153475048997,0.642574626865672,0.825556270258064,0.403980099502488,0.295454545454545,0.250493309223792,0.0198302134944412,0.0177966412141519,0.00871492875757269,0.0347866419294991,0.027605730102526
"c.hp125k",-92.8331286983641,-98.9012183246425,0.697700889491934,0.639743328810493,3.69723913306359,0.3787728026534,0.323863636363636,0.248356490988589,0.0195196829923466,0.0186089208410637,0.00863031779876129,0.0347866419294991,0.0290643911045911
"c.hp400k",-113.982635137646,-120.050724763924,0.712435926428468,0.638999321573948,3.97059826832864,0.384742951907131,0.301136363636364,0.238710248546345,0.020037346246293,0.0200272913609134,0.00871492875757266,0.0333371985157699,0.0269764067257149
"c.hp221k",-104.119044197101,-110.18713382338,0.706965174129358,0.638774310266848,3.88686056805034,0.375456053067993,0.301136363636364,0.231650357289528,0.0197677916515368,0.020248205286185,0.00897087690797711,0.0347866419294991,0.0276932622254674
"c.stm_r15",-86.6062750031815,-92.6743646294599,0.698918287351123,0.638172772501131,4.07836676386114,0.348590381426202,0.329545454545455,0.230115460634435,0.0194872204107687,0.0204048172864804,0.00829398923748604,0.0362360853432282,0.0298657379786257
"c.stm",-89.9073092950302,-95.9753989213086,0.69292363937886,0.635723654454998,3.30707347583923,0.392371475953565,0.329545454545455,0.26255558175355,0.0196812230638105,0.0185073660570062,0.00888626594916576,0.0362360853432282,0.0306475484865101
