"Cycles","BIC","AIC","AUC","psAUC","c.Threshold","Type I","Type II","Policy Loss Function","Std.AUC","Std.psAUC","Std.Type I","Std.Type II","Std.Loss Function","c.Threshold.1","Type I.1","Type II.1","Policy Loss Function.1","Std.Type I.1","Std.Type II.1","Std.Loss Function.1"
"null",0,0,0.5,0.5,NA,1,0,1,0,0,0,0,0,NA,1,0,1,0,0,0
"1_sided weighted_cycle",-127.53079296516,-133.913540060023,0.718156124249738,0.64540301324248,2.88923434218901,0.353209906227459,0.325471698113208,0.230689064129905,0.0174037928955731,0.016476083224554,0.00760583146458872,0.0312860993453985,0.0257274172124804,2.93449492725053,0.349843712430873,0.330188679245283,0.23141518702916,0.00754756098159387,0.0312860993453985,0.0259324913814734
"c.bn6_r20",-108.067866436676,-114.45061353154,0.704761667127893,0.637944761757861,0.658070839020992,0.396249098340947,0.30188679245283,0.248148983393472,0.0184370916651859,0.0176030659023307,0.0077300395993935,0.0312860993453985,0.0250158092680195,0.711783176731854,0.387833613849483,0.330188679245283,0.259439475933294,0.00766870224887259,0.0324894108586831,0.0275550864889671
"c.hamilton28_panel",-149.851828985299,-156.234576080163,0.710714885200082,0.635860398227078,9.76743423951202,0.391199807646069,0.306603773584906,0.247043163478825,0.0184999603832866,0.0168884785355844,0.00754449411406783,0.0313161821332305,0.025100621562678,10.1523489080832,0.382784323154604,0.330188679245283,0.255548401954673,0.00742335284678911,0.0312860993453985,0.0263455473442804
"c.ma",-120.810817940569,-127.193565035432,0.692211026779836,0.631255585749477,5.78125000000003,0.398893964895408,0.316037735849057,0.258996245710577,0.0180733598309449,0.0170000969621995,0.00766870224887262,0.0312860993453985,0.0258912841143337,5.9375,0.390478480403943,0.330188679245283,0.261498007560317,0.00760736489835174,0.0324894108586831,0.0275495935588874
"c.hamilton13_panelr15",-126.296817655516,-132.67956475038,0.69244012757057,0.63110712390043,6.52886701883097,0.429670593892763,0.283018867924528,0.264716498857441,0.0180289444828365,0.0175015251011418,0.00791251821719311,0.0312860993453985,0.0245067631351741,7.04285675358475,0.410675643183458,0.330188679245283,0.277679047805891,0.00785271430043524,0.0324894108586831,0.0277480329215876
"c.hamilton28_panelr20",-164.601476251781,-170.984223346645,0.71578005416758,0.630199340371189,10.8558009045954,0.394806443856696,0.292452830188679,0.241400785996139,0.0189168506404008,0.0180801605450756,0.00736201549626823,0.0312860993453985,0.0241196837302831,11.4993957118008,0.378456359701851,0.330188679245283,0.252253780100522,0.00754449411406783,0.0312860993453985,0.0263802252814796
"c.hamilton28_panelr15",-154.453320298802,-160.836067393666,0.709106643015585,0.627043873935589,11.5509923392342,0.385429189709065,0.297169811320755,0.236865557040199,0.0189537583758019,0.0183694717571822,0.00773157303315652,0.0324894108586831,0.0254192259901304,11.9525776323689,0.375090165905266,0.330188679245283,0.249717196460584,0.0076671688151096,0.0324894108586831,0.027358438992972
"c.hamilton13_panel",-133.934720142189,-140.317467237052,0.692218965916147,0.624958829907407,4.97690246606577,0.428468381822554,0.287735849056604,0.266377073053962,0.0184182524901151,0.0169452228179944,0.00754602754783085,0.030082787832114,0.0239110440805181,5.4765519104032,0.408752103871123,0.330188679245283,0.276102846320814,0.00754756098159387,0.0324894108586831,0.027769612351516
"c.bn2_r20",-109.312773149795,-115.695520244658,0.696255449649996,0.621791795016037,0.277605474748567,0.408030776628997,0.325471698113208,0.272420940949158,0.018825390827333,0.0170324809856528,0.00791251821719311,0.0312860993453985,0.0268206791640942,0.281569430448832,0.40706900697283,0.330188679245283,0.27472974033959,0.00785271430043524,0.0312860993453985,0.0270537776646872
"c.linear",-135.406902676244,-141.789649771107,0.687863782567486,0.620449173649326,3.99890109890111,0.461649434960327,0.292452830188679,0.298648858684558,0.0191472030766998,0.0144873599575703,0.00785118086667222,0.0324894108586831,0.0264017031595618,4.30233100233102,0.452031738398654,0.330188679245283,0.313357256421453,0.00779137694991439,0.0324894108586831,0.0286505023822429
"c.bn6",-132.7914743495,-139.174221444363,0.683547160738019,0.611315537570261,0.470952499625553,0.43712430872806,0.283018867924528,0.271177340882266,0.0194199564376191,0.0187835422722669,0.00748469019731,0.0312860993453985,0.0242489486292204,0.63492819179809,0.40442414041837,0.330188679245283,0.272583449254882,0.00711666609418472,0.0325194936465151,0.0273741976265201
"c.bn2_r15",-83.9469344400495,-90.3296815349129,0.674926392864764,0.604730364247574,0.13489793231995,0.476075979802837,0.330188679245283,0.335672902446976,0.0191810391629146,0.0148743885129077,0.00736048206250524,0.0312860993453985,0.0276689290626445,0.13489793231995,0.476075979802837,0.330188679245283,0.335672902446976,0.00736048206250524,0.0312860993453985,0.0276689290626445
"c.poly4_r20",3.5737759974179,-2.80897109744546,0.577210368965681,0.601115562068168,0.165135508615833,0.497956239480644,0.330188679245283,0.356984980339449,0.0153555044123308,0.0143673094535532,0.00773003959939345,0.0312860993453985,0.0283701798536455,0.165135508615833,0.497956239480644,0.330188679245283,0.356984980339449,0.00773003959939345,0.0312860993453985,0.0283701798536455
