"Cycles","BIC","AIC","AUC","psAUC","c.Threshold","Type I","Type II","Policy Loss Function","c.Threshold.1","Type I.1","Type II.1","Policy Loss Function.1","c.Threshold.2","Type I.2","Type II.2","Policy Loss Function.2","c.Threshold.3","Type I.3","Type II.3","Policy Loss Function.3"
"null",0,0,0.5,0.5,NA,1,0,1,NA,1,0,0.5,NA,1,0,0.5,NA,1,0,0.5
"c.bn6_r20",-108.067866436676,-114.45061353154,0.704761667127893,0.637944761757861,0.658070839020992,0.396249098340947,0.30188679245283,0.248148983393472,0.285371967871386,0.472228901178168,0.207547169811321,0.339888035494744,-1.55606524578344,0.817744650156288,0.0377358490566038,0.271738489386509,0.658070839020992,0.396249098340947,0.30188679245283,0.367940406574512
"c.hamilton28_panel",-149.851828985299,-156.234576080163,0.710714885200082,0.635860398227078,9.76743423951202,0.391199807646069,0.306603773584906,0.247043163478825,9.76743423951202,0.391199807646069,0.306603773584906,0.348901790615487,-12.2636238092829,0.846597739841308,0.00471698113207547,0.257281208744845,9.83120843778455,0.389035825919692,0.311320754716981,0.365721304558879
"c.hamilton13_panelr20",-150.244189090169,-156.626936185032,0.703570796680978,0.633278591098187,5.98951252733423,0.426063957682135,0.254716981132075,0.246411236512802,5.98951252733423,0.426063957682135,0.254716981132075,0.340390469407105,-5.82268338829434,0.829526328444338,0.0235849056603774,0.265367332495565,7.21356041723347,0.38086078384227,0.330188679245283,0.365659152463174
"c.hamilton24_panel",-134.409302306004,-140.792049400867,0.699148697754805,0.632170741333866,7.1793864577689,0.438326520798269,0.268867924528302,0.264420099675272,7.1793864577689,0.438326520798269,0.268867924528302,0.353597222663285,-13.9408496450988,0.871122866073575,0,0.261336859822073,7.49467545817779,0.433036787689348,0.278301886792453,0.38661631742028
"c.hamilton20_panelr20",-151.561737210076,-157.94448430494,0.704817241082076,0.631337132021032,7.93496098986935,0.432075018033181,0.306603773584906,0.280694695184878,5.20691334399916,0.507573936042318,0.202830188679245,0.355202062360782,-7.00564696710603,0.814618898773744,0.0188679245283019,0.257593216801934,8.42612476937865,0.417648473190671,0.330188679245283,0.391410535007054
"c.ma",-120.810817940569,-127.193565035432,0.692211026779836,0.631255585749477,5.78125000000003,0.398893964895408,0.316037735849057,0.258996245710577,4.72499999999999,0.454676604953114,0.240566037735849,0.347621321344481,-1.34374999999999,0.794662178408271,0.0330188679245283,0.261511861069651,5.9375,0.390478480403943,0.330188679245283,0.372391540056345
"c.hamilton20_panelr15",-135.371255102819,-141.754002197682,0.698451187921619,0.63116088319489,7.52437220939316,0.461649434960327,0.268867924528302,0.285410161639346,5.53828662771513,0.516470305361866,0.202830188679245,0.359650247020556,-5.02574699049205,0.796585717720606,0.0283018867924528,0.258787036070899,8.21360435105954,0.440490502524645,0.306603773584906,0.400324483842723
"c.hamilton13_panelr15",-126.296817655516,-132.67956475038,0.69244012757057,0.63110712390043,6.52886701883097,0.429670593892763,0.283018867924528,0.264716498857441,4.91049957168563,0.485212791536427,0.221698113207547,0.353455452371987,-4.14862678330936,0.799951911517192,0.0330188679245283,0.263098781002327,6.52886701883097,0.429670593892763,0.283018867924528,0.385675076102292
"c.hamilton28_panelr20",-164.601476251781,-170.984223346645,0.71578005416758,0.630199340371189,10.8558009045954,0.394806443856696,0.292452830188679,0.241400785996139,10.8558009045954,0.394806443856696,0.292452830188679,0.343629637022688,-7.61793642883832,0.813657129117576,0.0283018867924528,0.26390845948999,11.4955193282205,0.378696802115893,0.325471698113208,0.362729270915088
