1,Crisis horizon:5-12 quarters,,,,Type II<=1/3,Loss func: Closest to Top Left : min(1*T1^2+1*T2^2),,,,Loss function: min(0.5*T1+0.5*T2)  (alpha=0.5) ,,,,(alpha=0.3),,,,(alpha=0.7),,,
2,Cycles,BIC,AIC,AUC,psAUC,c.Threshold.3,Type I.3,Type II.3,Policy Loss Function.3,c.Threshold,Type I,Type II,Policy Loss Function,c.Threshold.1,Type I.1,Type II.1,Policy Loss Function.1,c.Threshold.2,Type I.2,Type II.2,Policy Loss Function.2
3,null,0,0,0.5,0.5,NA,1,0,0.5,NA,1,0,0.5,NA,1,0,0.5,NA,1,0,0.5
4,c.hamilton28_panelr20,-164.6097778,-170.9925249,0.715712004,0.659775118,13.51597849,0.367924528,0.333012743,0.246265946,29.7388338,0.608490566,0.086318827,0.347404696,30.70062834,0.622641509,0.07670113,0.240483244,13.51597849,0.367924528,0.333012743,0.357450993
5,c.hamilton24_panelr20,-155.8958276,-162.2785747,0.709404928,0.650818412,12.69091918,0.400943396,0.332291416,0.271173192,25.290701,0.580188679,0.111805723,0.345997201,28.11345934,0.632075472,0.085597499,0.249540891,12.69091918,0.400943396,0.332291416,0.380347802
6,c.hamilton28_panelr15,-153.52307,-159.9058171,0.708482854,0.650295109,13.72204913,0.377358491,0.331810531,0.252497659,27.55858319,0.594339623,0.109401298,0.351870461,28.86718186,0.613207547,0.095215196,0.250612901,13.72204913,0.377358491,0.331810531,0.363694103
7,c.bn4,-169.1186467,-175.5013938,0.689240656,0.648163111,2.037333698,0.386792453,0.307285405,0.244032722,2.037333698,0.386792453,0.307285405,0.347038929,14.71386495,0.759433962,0.031257514,0.249710448,1.767739171,0.367924528,0.332772301,0.35737886
8,c.hamilton28_panel,-149.851829,-156.2345761,0.710714885,0.646926647,12.29293163,0.391509434,0.333253186,0.264337323,31.41239508,0.632075472,0.067083434,0.349579453,32.67564372,0.641509434,0.062034143,0.23587673,12.29293163,0.391509434,0.333253186,0.37403256
9,c.hamilton20_panelr20,-151.3034582,-157.6862053,0.704484932,0.646039959,13.93435665,0.452830189,0.279394085,0.283116235,23.25378128,0.594339623,0.110363068,0.352351345,25.24957104,0.636792453,0.086799711,0.251797534,12.22576848,0.424528302,0.320990623,0.393466998
10,c.bn8,-128.9732664,-135.3560135,0.665777105,0.642482318,1.84104839,0.448113208,0.332291416,0.311223032,8.631469298,0.627358491,0.084876172,0.356117331,14.38432801,0.70754717,0.039192113,0.23969863,1.84104839,0.448113208,0.332291416,0.41336667
11,c.hamilton24_panelr15,-142.3051165,-148.6878636,0.70274059,0.641723564,13.1266014,0.429245283,0.333012743,0.295149,20.04333575,0.514150943,0.193796586,0.353973765,26.7613772,0.608490566,0.101466699,0.253573859,13.1266014,0.429245283,0.333012743,0.400375521
