"BIC","AIC","AUC"
"null",0,0,0.5
"c.bn620",-52.3543962677759,-58.3507134995726,0.7062174566536
"c.ma1",-54.0940766516168,-60.0903938834135,0.69284448977401
"c.bn6",-68.7271522905335,-74.7234695223302,0.691650115411456
"c.bn220",-53.8256041171962,-59.821921348993,0.688080412260461
"c.bn615",-12.9815793894726,-18.9778966212693,0.687459740190028
"c.hp400k1",-49.8434737719616,-55.8397910037584,0.680313623919699
"c.bn610",4.43040701400525,-1.5659102177915,0.677575956841482
"c.bn4",-79.9500114818827,-85.9463287136795,0.67681102045199
"c.bn215",-40.312249713858,-46.3085669456548,0.675978984379192
"c.bn2",-70.2381822453182,-76.2344994771149,0.675130173385593
"c.bn315",-73.1158329981586,-79.1121502299553,0.673573460733259
"c.hp221k1",-41.6043805203218,-47.6006977521185,0.670054082344734
"c.bn420",-39.05569938361,-45.0520166154067,0.668524209565729
"c.bn415",-37.459993986988,-43.4563112187848,0.667604943904667
"c.bn320",-75.2756683141896,-81.2719855459864,0.665410784261097
"c.bn520",-43.3377804331533,-49.33409766495,0.66324681947501
"c.bn5",-68.7387825555281,-74.7350997873249,0.658418997262333
"c.bn515",-48.5225253096802,-54.5188425414769,0.657496376617099
"c.hp400k20",-32.3195984745838,-38.3159157063806,0.65656704600355
"c.hp125k1",-33.6743273860419,-39.6706446178387,0.656503301304418
"c.stm1",-32.906130264697,-38.9024474964938,0.654309141660852
"c.hp221k20",-31.5258269656778,-37.5221441974745,0.654285656771703
"c.hamilton28_panel",-24.807753592468,-30.8040708242647,0.654205137151749
"c.stm15",-25.9426303583301,-31.9389475901269,0.654181652262608
"c.bn7",-76.6581877345894,-82.6545049663862,0.653242256696542
"c.bn720",-80.8961793132686,-86.8924965450653,0.653108057329964
"c.quad2",-24.6523355308921,-30.6486527626888,0.651021257179671
"c.hp125k20",-29.7091191050816,-35.7054363368784,0.650501234634169
"c.hamilton28t1",-25.3990712132857,-31.3953884450824,0.650259675774327
"c.stm20",-31.9022563718373,-37.8985736036341,0.649072011380109
"c.bn8",-45.2031226481444,-51.1994398799411,0.646351119222721
"c.linear20",-29.5153810165999,-35.5116982483967,0.644515942884758
"c.bn3",-72.3681225366504,-78.3644397684471,0.640439637124916
"c.hp400k15",-19.8440112409153,-25.840328472712,0.638788984915998
"c.linear15",-19.5068599255848,-25.5031771573815,0.638544071071991
