"Cycles","BIC","AIC","AUC","psAUC","c.Threshold","Type I","Type II","Policy Loss Function","c.Threshold.1","Type I.1","Type II.1","Policy Loss Function.1","c.Threshold.2","Type I.2","Type II.2","Policy Loss Function.2","c.Threshold.3","Type I.3","Type II.3","Policy Loss Function.3"
"null",0,0,0.5,0.5,NA,1,0,1,NA,1,0,0.5,NA,1,0,0.5,NA,1,0,0.5
"c.bn3_r15",-46.2773819039322,-51.3506516213919,0.736523892773894,0.630812937062937,0.624364800482569,0.305944055944056,0.333333333333333,0.204712876478611,0.624364800482569,0.305944055944056,0.333333333333333,0.319638694638695,-1.00415796586264,0.84965034965035,0,0.254895104895105,0.624364800482569,0.305944055944056,0.333333333333333,0.314160839160839
"c.poly3",5.38621358819529,0.31294387073558,0.573742229992229,0.604589160839161,1.80888354180786,0.527972027972028,0.305555555555556,0.37211865985176,6.07777245469771,0.670454545454545,0.0833333333333333,0.376893939393939,12.5084178208114,0.840034965034965,0,0.25201048951049,1.49494303165189,0.513986013986014,0.333333333333333,0.45979020979021
"c.bn2_r15",-13.2062426117791,-18.2795123292389,0.687888500388502,0.587937062937063,0.2952252179824,0.356643356643357,0.333333333333333,0.238305594948952,0.2952252179824,0.356643356643357,0.333333333333333,0.344988344988345,-1.00045228621556,0.884615384615385,0.0277777777777778,0.28482905982906,0.2952252179824,0.356643356643357,0.333333333333333,0.34965034965035
"c.poly4_r20",7.07317809933312,1.99990838187341,0.504006410256405,0.58159965034965,-0.960851245528662,0.596153846153846,0.333333333333333,0.466510519395135,-2.35841604901994,0.715909090909091,0.0555555555555556,0.385732323232323,-4.20321380372433,0.818181818181818,0,0.245454545454545,-0.960851245528662,0.596153846153846,0.333333333333333,0.517307692307692
"c.linear",-9.36761468447457,-14.4408844019343,0.578671328671333,0.57736013986014,-0.978280712254971,0.629370629370629,0.222222222222222,0.445490105163765,-6.91476735316552,0.747377622377622,0.0277777777777778,0.3875777000777,-10.824358974359,0.807692307692308,0,0.242307692307692,-0.978280712254971,0.629370629370629,0.222222222222222,0.507226107226107
"1_sided weighted_cycle",7.01056286714925,1.93729314968954,0.498688811188812,0.575961538461538,1.49857587666719,0.566433566433566,0.333333333333333,0.431958096293761,9.53780548787396,0.768356643356643,0.0277777777777778,0.398067210567211,11.1454496157773,0.797202797202797,0,0.239160839160839,1.49857587666719,0.566433566433566,0.333333333333333,0.496503496503496
"c.bn2_r20",-16.6410977933384,-21.7143675107981,0.67603923853924,0.575131118881119,0.147031713762197,0.451048951048951,0.305555555555556,0.296809353773223,0.147031713762197,0.451048951048951,0.305555555555556,0.378302253302253,-1.0591714269806,0.892482517482518,0.0277777777777778,0.2871891996892,0.164142338631079,0.437937062937063,0.333333333333333,0.406555944055944
"c.hamilton13t",6.57491601903848,1.50164630157877,0.5468142968143,0.570979020979021,3.63540819357591,0.620629370629371,0.305555555555556,0.478545013218673,7.1490189068136,0.761363636363636,0.0277777777777778,0.394570707070707,7.1490189068136,0.761363636363636,0.0277777777777778,0.247853535353535,3.63540819357591,0.620629370629371,0.305555555555556,0.526107226107226
"c.ma",-11.6400795134784,-16.7133492309381,0.557194541569539,0.545738636363636,-0.224999999999998,0.722027972027972,0.166666666666667,0.549102170168604,-2.875,0.833916083916084,0.0277777777777778,0.430846930846931,-4.84375,0.875,0,0.2625,-0.224999999999998,0.722027972027972,0.166666666666667,0.55541958041958
"c.hamilton28_panel",-7.86869498898523,-12.9419647064449,0.539189976689982,0.538374125874126,-1.77498736955411,0.695804195804196,0.277777777777778,0.561303972725884,-7.66573026138813,0.80506993006993,0.0277777777777778,0.416423853923854,-11.4531376762671,0.84965034965035,0,0.254895104895105,-1.77498736955411,0.695804195804196,0.277777777777778,0.57039627039627
"c.quad",6.19965365715052,1.12638393969081,0.465423465423465,0.533435314685315,-6.4881791855744,0.745629370629371,0.194444444444444,0.59377180032046,-11.6421289548697,0.83479020979021,0,0.417395104895105,-11.6421289548697,0.83479020979021,0,0.250437062937063,-6.4881791855744,0.745629370629371,0.194444444444444,0.580273892773893
"c.hamilton13_panelr15",-1.65709419689222,-6.73036391435193,0.509251165501167,0.527578671328671,-0.9737779533359,0.697552447552447,0.333333333333333,0.597690528197521,-4.21762733460148,0.796328671328671,0.0555555555555556,0.425942113442113,-9.17896776163582,0.879370629370629,0,0.263811188811189,-4.21762733460148,0.796328671328671,0.0555555555555556,0.574096736596737
"c.hp25k_r15",3.64199164231604,-1.43127807514367,0.501772533022532,0.52652972027972,-3.56722513102848,0.784965034965035,0.111111111111111,0.628515785130004,-4.75269528418087,0.817307692307692,0.0277777777777778,0.422542735042735,-6.68814313784269,0.857517482517482,0,0.257255244755245,-3.78717045577598,0.79020979020979,0.0833333333333333,0.578146853146853
"c.hp25k",3.94655391176826,-1.12671580569145,0.497450466200465,0.52465034965035,-3.73390528193885,0.789335664335664,0.111111111111111,0.63539647000457,-4.91224641962381,0.825174825174825,0.0277777777777778,0.426476301476302,-6.74030469015662,0.857517482517482,0,0.257255244755245,-3.8091792656966,0.792832167832168,0.0833333333333333,0.579982517482518
"c.hp3k",3.36782760074425,-1.70544211671546,0.527632090132088,0.523513986013986,-1.11187146743089,0.701923076923077,0.333333333333333,0.603807117028271,-3.47874493940081,0.844405594405594,0.0277777777777778,0.436091686091686,-4.80921619439422,0.892482517482518,0,0.267744755244755,-2.5294151742443,0.798951048951049,0.0833333333333333,0.584265734265734
