"1970-10-01","1971-01-01","1971-04-01","1971-07-01","1971-10-01","1972-01-01","1972-04-01","1972-07-01","1972-10-01","1973-01-01","1973-04-01","1973-07-01","1973-10-01","1974-01-01","1974-04-01","1974-07-01","1974-10-01","1975-01-01","1975-04-01","1975-07-01","1975-10-01","1976-01-01","1976-04-01","1976-07-01","1976-10-01","1977-01-01","1977-04-01","1977-07-01","1977-10-01","1978-01-01","1978-04-01","1978-07-01","1978-10-01","1979-01-01","1979-04-01","1979-07-01","1979-10-01","1980-01-01","1980-04-01","1980-07-01","1980-10-01","1981-01-01","1981-04-01","1981-07-01","1981-10-01","1982-01-01","1982-04-01","1982-07-01","1982-10-01","1983-01-01","1983-04-01","1983-07-01","1983-10-01","1984-01-01","1984-04-01","1984-07-01","1984-10-01","1985-01-01","1985-04-01","1985-07-01","1985-10-01","1986-01-01","1986-04-01","1986-07-01","1986-10-01","1987-01-01","1987-04-01","1987-07-01","1987-10-01","1988-01-01","1988-04-01","1988-07-01","1988-10-01","1989-01-01","1989-04-01","1989-07-01","1989-10-01","1990-01-01","1990-04-01","1990-07-01","1990-10-01","1991-01-01","1991-04-01","1991-07-01","1991-10-01","1992-01-01","1992-04-01","1992-07-01","1992-10-01","1993-01-01","1993-04-01","1993-07-01","1993-10-01","1994-01-01","1994-04-01","1994-07-01","1994-10-01","1995-01-01","1995-04-01","1995-07-01","1995-10-01","1996-01-01","1996-04-01","1996-07-01","1996-10-01","1997-01-01","1997-04-01","1997-07-01","1997-10-01","1998-01-01","1998-04-01","1998-07-01","1998-10-01","1999-01-01","1999-04-01","1999-07-01","1999-10-01","2000-01-01","2000-04-01","2000-07-01","2000-10-01","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01","2021-04-01","2021-07-01"
"c.hp400k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000245613410182081,0.000273296849075978,0.000333276995793824,0.000380150152027297,0.000409997723624304,0.000461661093453268,0.000533030259079262,0.000555186087035022,0.000536075525702488,0.000572398964471504,0.000621507274493395,0.000705082325365928,0.000731588074564399,0.00074341508780151,0.000749507319358885,0.000748514566748407,0.000735049824907714,0.000770033912065883,0.000842347868143727,0.000867153258498512,0.000789948310182337,0.00084936977547245,0.00101576575654126,0.000852087679965356,0.000753581320088595,0.000973671819369947,0.00559895046894391,0.00998043387998296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c.hp400k_r15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000696622893800928,0,0,0.000913885353341819,9.27216295644017e-05,0.000302724120238156,0.000423787098405646,0.000472263074960473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.16206321873071e-05,0,6.08035157291969e-05,5.55923718481944e-05,0,0,0,0,0,0,0,0,0,0,0,0,5.56142584901639e-05,4.94574242404602e-05,0.000245229125045859,0.000336346780572358,0.000356393634805552,0.000381998572550432,0.000319265773226425,0.000320756291886378,0.000300093255198679,0.000313796350090757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c.hp400k_r20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c.hp3k",0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00106763844735507,0.00433858871773742,0.00729844866012051,0.00888763872157354,0.0102567142088433,0.0100828324599381,0.00693263959501734,0.00701584036781985,0.0038274487421949,0.00340311740461798,0.00116816417594624,0.00839978845734869,0.303112713187329,0.458655268659947,0.473596253330527,0.468125408015008,0.478110806988886,0.45175162871014,0.465822476740873,0.468057406631751,0.454148620055334,0.41692635426693,0.37877169347403,0.231888659627744,0.0819084811424218,0.0245652641243214,0.0255892438289133,0.0260834009391171,0.0275688913198221,0.0281614155142109,0.0306907004810482,0.0330798885098289,0.037366622325281,0.0408729335847612,0.0433224835075744,0.0473174970859071,0.0564245215177242,0.0108886422469233,0.00557242707274919,0.00191624888736717,0.00132733689236422,0.000961981927795893,0.00047200758640246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000398166964998086,0.000262906211402335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c.hp3k_r20",0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00106779408699158,0.00429775180198113,0.00728749424786322,0.00885325611348108,0.0101803857245907,0.0100450561008457,0.00689529210662471,0.00700624313727373,0.00379596215041672,0.00337585378167272,0.00116816732487829,0.00839995876444511,0.303121988576804,0.458675119158915,0.474234013088511,0.468131973420419,0.479588541045196,0.453005767053609,0.46581868207105,0.468046727812506,0.454138196584507,0.416910032898964,0.378748254493575,0.232195490997226,0.08184456125671,0.0245137161902596,0.0255360738982668,0.026029565700973,0.0275122382671877,0.028103533566195,0.030684146589853,0.0330718908333456,0.037356696546388,0.0408609861131656,0.0433092746258801,0.0473027787357055,0.056314245682091,0.0108517187027371,0.00554646879941993,0.00190521522966254,0.00131895457882574,0.000956971153375418,0.000469655765073124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000396054089313878,0.000261542122355751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c.hp25k_r15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000171417341029383,0.000444078381363483,0.000536445946123473,0.00289519743886977,0.000907230636586583,0.00489938397074364,0.0101679642896557,0.0126910839082981,0.0154370173803439,0.016275759317554,0.0160094595419372,0.0117769316803244,0.00472110115253085,0.00164789991631174,0.0017009381386233,0.00168686198616162,0.00168703968448831,0.00170728757793438,0.00181397055526896,0.00190227203586707,0.0020727105826591,0.00222861361413441,0.00222891632573836,0.00234266153421082,0.00269828467182554,0.000688451723529243,0.000635804518726177,0.000147595710005749,0.000401496956636711,0.000435135314373187,0.000267381670664645,0,0,0,0,0,0.000183010094819206,0.000187361679072096,0.000255777548860604,0,0,0,0,0,0.000889343710460257,0.000959524009361302,0.00092417643153337,0.000816914700659065,0.000712244441597146,0.000712455992787701,0.000673860460260695,0.000715074006749611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c.hp25k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000156772575830615,0.000433488643831606,0.00052336648102025,0.00304885464509221,0.000847748953300517,0.0045565968885154,0.0092929485372509,0.0113667523249097,0.0133806451066737,0.0135944509277978,0.0128453949129997,0.00941824106707126,0.00370532874510285,0.00128693856584464,0.00132844916976429,0.001320078556635,0.00133024446575724,0.00135117596359822,0.00144345755773987,0.001524286744035,0.0016602671141834,0.00178786118848852,0.00180011721041663,0.00190102825825803,0.00217774775226662,0.000503415782395392,0.000410015129496966,0,9.60768540076653e-05,0.000105674658301754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000467436926099875,0.000508871728331651,0.000493706114126234,0.000457367326732537,0.000420079891595986,0.000422863254842023,0.000402821673457554,0.000429251872628148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c.hp221k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000172509666547327,0.000179013781388422,0.000171407506708994,0.000182388754676136,0.000371604614119825,0.000423613648103527,0.000430651248799337,0.000422708302559894,0.000414688154834857,0.000413489744397363,0.00041108234435034,0.000433446582320189,0.000472296925264419,0.000475678441076381,0.000437219201417312,0.000466993128409422,0.000545857599518879,0.000450574626502479,0.000248467733101794,0.000323630032524912,0.00228993326121274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c.hp125k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000675970866742532,0,0,0,8.58335427800186e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000127909010144137,0.00013589452129257,0.000128450061667543,0,0,0.000166977410555213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c.hamilton28_panel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64324782566471e-05,9.60233167683005e-05,0.00016182801311894,0.000257303793309956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67172589254473e-05,0.000101865423039658,0.00032696508903803,0.000411886846353509,0.000434182039295957,0.00037151343226706,0.00041357035938193,0.00048687535694234,0.000594398044177923,0.000705058867399089,0.000860671639332432,0.00131920925570016,0.00209850264488754,0.00303341726732306,0.00330628561825069,0.0162809186108794,0.0170248334337073,0.0192714477205039,0.0205603855103813,0.0208941933392039,0.0101890161790955,0.0110064967335751,0.0107243797286883,0.00957683519510959,0.00929764927182565,0.009103524571263,0.00933381767588714,0.00885411923080913,0.00809858275247806,0.00742064862651906,0.00675207625373536,0.00603410933196011,0.00583448925553978,0.00585864254292556,0.00560826837062155,0.0165309158145992,0.0172350548928586,0.0186400423483703,0.0180654192683692,0.0214502219047173,0.0247839042785553,0.0741642367513432,0.196883089560591,0.210985143368849,0.25623502400132,0.469637331754366,0.0329782364067955,0.0293935261339945,0.0239923994958469,0.0226667452238912,0.0215993453303734,0.0207473985188617,0.019922537871343,0.0189801666181981,0.0182042060684341,0.01733580492379,0.0165075019565101,0.0156153765174707,0.0154162252936271,0.0150466129530712,0.0152485998675131,0.0156661090448122,0.0163056029013045,0.0171712445736063,0.0177929780889994,0.0185194274668485,0.0186574179369804,0.0183772771356402,0.0181968287051666,0.0179911597188233,0.0175822040485274,0.0174322656924663,0.0174598065283065,0.0171059819095636,0.0168156194409726,0.0172311140892791,0.0173784834761793,0.0177262080075237,0.0176832647191175,0.0210227700451611,0.0213015069335218,0.0215632492101855,0.0214318453406111,0.0213102617976596,0.0211953351017673,0.0217991784951607,0.018273330468957,0.0182523374240078,0.0183650295698274,0.0191880587341843,0.0193428800571229,0.0193428800571229,0.0193428800571229,0.0193428800571229,0.0193428800571229,0.0193428800571229,0.0193428800571229,0.0193428800571229,0.0193428800571229,0.0193428800571229,0.0193428800571229,0.0193428800571229,0.0193428800571229,0.0193428800571229,0.0193428800571229,0.0193428800571229
