,,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
BIS,AUC,0.712028167,0.705846229,0.711987227,0.713092606,0.708456153,0.69938283,0.672162859,0.68146647,0.689618644,0.689019897,0.694224392,0.688973839
,std.err,0.002981158,0.003351976,0.003354455,0.003207176,0.004106626,0.003560146,0.004090647,0.003796838,0.003685081,0.003210965,0.003043592,0.003237054
,5%,0.603038847,0.590530038,0.599833131,0.602798164,0.573999047,0.57701546,0.543877304,0.557243645,0.565765738,0.573394477,0.582152963,0.575511575
,95%,0.818325698,0.811646283,0.815804482,0.819094181,0.822588682,0.812574208,0.790820062,0.797830641,0.801509917,0.798809528,0.8002581,0.797957778
BG 1 step,AUC,0.687791697,0.68214198,0.677720462,0.690657496,0.701869934,0.69809322,0.67561717,0.662905306,0.671518055,0.678749079,0.682617907,0.682848195
,std.err,0.003604258,0.003766652,0.004309762,0.004605783,0.005999333,0.005557252,0.005182698,0.005427265,0.005290275,0.004728083,0.004135173,0.003968004
,5%,0.572025061,0.564400375,0.549514592,0.555277348,0.535969138,0.535836756,0.517815769,0.495889187,0.508277953,0.522421539,0.538569808,0.540877342
,95%,0.808983803,0.800635636,0.806088626,0.821491122,0.841928124,0.835419416,0.811209917,0.798963547,0.806603789,0.803502798,0.801861167,0.802207828
BG 2 steps,AUC,0.688037337,0.681446,0.678825841,0.689715877,0.699336772,0.694638909,0.673406411,0.659220707,0.668938836,0.677551584,0.682157332,0.679624171
,std.err,0.003649379,0.003803753,0.004261248,0.004655716,0.006052473,0.005617198,0.005214284,0.005430474,0.005242833,0.004682149,0.004147187,0.003932888
,5%,0.571981549,0.562584043,0.551755071,0.552987278,0.53094995,0.532824874,0.516911447,0.494725198,0.506162286,0.520645618,0.537490606,0.538565099
,95%,0.809512168,0.802527249,0.806216598,0.821373463,0.842664421,0.833854556,0.810055375,0.797945201,0.802088499,0.803831756,0.801813424,0.796976268
BG 3 steps,AUC,0.687791697,0.68197822,0.678129862,0.689715877,0.698553795,0.694869197,0.674327561,0.660740604,0.670965365,0.678518791,0.683446942,0.68275608
,std.err,0.003676792,0.003867345,0.00437308,0.004636171,0.006059306,0.005627169,0.005241141,0.005471415,0.005301474,0.004761826,0.004154967,0.003983262
,5%,0.569429517,0.563629568,0.548440337,0.551568329,0.529321015,0.532671392,0.518349111,0.495528996,0.504994392,0.523820221,0.536557734,0.542788446
,95%,0.808697402,0.80345422,0.805533886,0.820312142,0.839743018,0.835299611,0.812776744,0.800348461,0.80514282,0.806740463,0.798610032,0.802902818
BG 4 steps,AUC,0.686891018,0.68107754,0.678416441,0.688774257,0.697079956,0.693211127,0.673544584,0.661201179,0.672669492,0.678564849,0.682848195,0.683446942
,std.err,0.003717664,0.003858994,0.004384438,0.004623716,0.006032636,0.005612076,0.005250144,0.005436275,0.005293693,0.004745624,0.00417095,0.003942446
,5%,0.56809938,0.562993586,0.544361234,0.551157594,0.527394116,0.528369427,0.515759289,0.494597584,0.507521152,0.521443307,0.535490334,0.545527399
,95%,0.808697402,0.804731905,0.804457605,0.819486082,0.838586271,0.830122709,0.81410259,0.801366925,0.807165265,0.808877647,0.800156415,0.803149581
BG 1-4 steps,AUC,0.687382298,0.68160976,0.678252682,0.690289036,0.69975129,0.695283714,0.674465733,0.661016949,0.670596905,0.678564849,0.682986367,0.682433677
,std.err,0.003654215,0.003822172,0.004323759,0.004613704,0.006012887,0.005601354,0.005212323,0.005417849,0.005256056,0.004718503,0.004148912,0.003968175
,5%,0.569329679,0.56278801,0.550784171,0.553696811,0.531283379,0.534059346,0.519146323,0.497646838,0.506674767,0.521021008,0.5381006,0.542574763
,95%,0.807930946,0.802261591,0.805828989,0.820268691,0.841612756,0.835858583,0.811900377,0.800285757,0.803585529,0.806378424,0.801633477,0.802242875
