"ID","date","c.hamilton13_panel","c.hamilton20_panel","c.hamilton24_panel","c.hamilton28_panel"
"AR",1999-10-01,5.81204734577004,7.15427496124862,8.11669383930151,12.3655719567597
"AR",2000-01-01,3.69144529237548,7.26287474697522,7.18704840828473,8.40325926058144
"AR",2000-04-01,2.62615182242675,5.33419561026131,5.10073321729411,8.51091604701415
"AR",2000-07-01,1.11902543253923,5.75571620422544,4.62210392925359,7.97189006042571
"AR",2000-10-01,-0.00339079983032571,3.3059062777315,3.74022055248012,5.20564779253381
"AR",2001-01-01,-2.06924802427135,2.5567650121617,3.79880535678273,4.6384276221932
"AR",2001-04-01,-0.960012531993078,3.16383656996609,3.67896464222837,4.057767573013
"AR",2001-07-01,-2.16376685855661,1.91187878838689,3.10475824950206,2.78792637611828
"AR",2001-10-01,7.89946845974066,12.1346493760668,12.6322825449446,13.4135637117085
"AR",2002-01-01,42.0640698656594,46.5717682128425,47.5655242080046,49.0528743880485
"AR",2002-04-01,50.6400161002381,53.5978804670909,55.3514363281341,56.0144966412722
"AR",2002-07-01,41.3209172443085,44.1180937269912,45.9152339713808,47.3628221807406
"AR",2002-10-01,28.5113530767182,29.4946447378804,31.5123205241095,32.1753189287063
"AR",2003-01-01,17.3935913097574,18.3658937475282,19.929696785395,21.1934607998482
"AR",2003-04-01,13.5003552177198,12.3715800669268,13.1429286243533,14.9271696349197
"AR",2003-07-01,11.8602835807531,9.22992521565115,10.5268625233291,12.6184464054124
"AR",2003-10-01,9.67297596520956,6.49564839461643,7.64212375464187,9.89909569673766
"AR",2004-01-01,6.28602323946151,2.59217130570039,3.51531803082027,5.47917815382253
"AR",2004-04-01,6.79315049409146,1.29695108930784,2.41035288068466,3.61070209800471
"AR",2004-07-01,3.71651751425542,1.0610126783699,0.534646991954924,2.33397277142901
"AR",2004-10-01,3.12146972043406,-1.20965380295143,-2.34649030716243,-0.702786600578082
"AR",2005-01-01,-17.1194491927254,-1.82454293184881,-4.57675366158702,-3.26156229834866
"AR",2005-04-01,-67.7756978503129,-2.44049215158145,-6.00785621927524,-4.62921360269717
"AR",2005-07-01,-70.5609605089774,-4.15595295440799,-6.94916438027837,-6.95921838177735
"AR",2005-10-01,-46.8556811307555,-3.95653340925935,-7.48292707036436,-8.11177756649482
"AR",2006-01-01,-23.3271954984962,-3.28515652188766,-6.36936001110224,-8.52558044699014
"AR",2006-04-01,-11.7190683490538,-5.85290928334262,-6.36789845195594,-9.4365753083356
"AR",2006-07-01,-10.5926663674471,-4.6509353657815,-6.88563452267918,-9.13143763313389
"AR",2006-10-01,-13.2607169359365,-22.428817941592,-6.63886089986931,-9.70348921506574
"AR",2007-01-01,-13.5945611115827,-69.4644656239222,-5.84380564169926,-8.33589279815816
"AR",2007-04-01,-9.28267120783121,-70.3051006673977,-8.20819079685782,-8.65585427306223
"AR",2007-07-01,-9.6326436986445,-49.8072674877262,-6.3877554782028,-8.55828896623313
"AR",2007-10-01,-10.1360505848159,-26.8315961948225,-25.0072976654623,-8.25842594263297
"AR",2008-01-01,-8.39137461476382,-14.9652006768117,-74.1438612383837,-7.66688834868617
"AR",2008-04-01,-6.58067835139177,-13.9090149229583,-79.0212585298252,-11.3125643265338
"AR",2008-07-01,-6.30612022354613,-16.1462374658867,-57.9214773716112,-8.64935382846568
"AR",2008-10-01,-4.25392911362995,-15.6506755261819,-27.9692470125453,-29.1221146127413
"AR",2009-01-01,-3.9924438865054,-10.6601925933477,-12.4660869282252,-77.8809813199918
"AR",2009-04-01,-3.25122284427384,-11.1846441963601,-10.1587784398709,-62.8193826635912
"AR",2009-07-01,-3.18927167660393,-11.1374352440373,-13.5996376107141,-41.3670340335851
"AR",2009-10-01,-3.13362309456091,-9.34372674039355,-15.0724212311481,-26.3249044662995
"AR",2010-01-01,-3.44326362296708,-7.21585593944522,-11.599425656622,-19.4365446969112
"AR",2010-04-01,-3.23482823832642,-7.14337333117663,-12.616201062533,-19.1230544134589
"AR",2010-07-01,-3.14752348481109,-5.69295387419684,-12.6193886829986,-20.5942086792857
"AR",2010-10-01,-3.59902734432079,-5.79819683444429,-10.4779687959647,-18.5948760734666
"AR",2011-01-01,-2.74384909865058,-5.56998096940994,-7.69440902114585,-13.1724282185426
"AR",2011-04-01,-1.60412306927648,-5.08382664506259,-6.85467136659522,-15.2519807749345
"AR",2011-07-01,0.207642875219078,-4.0210662091661,-4.78128581635017,-13.7828569212396
"AR",2011-10-01,-0.0956759670935365,-3.66227436574632,-5.30213394088202,-10.3772962152175
"AR",2012-01-01,-1.44666132537174,-3.36479238610293,-5.16327865834823,-8.23607847565161
"AR",2012-04-01,-1.75465673120955,-2.71021330684997,-4.76691198630566,-8.1708170051145
"AR",2012-07-01,-1.62929798127183,-2.99284202999028,-3.81565394712728,-5.53383685948041
"AR",2012-10-01,0.00821370671760746,-0.93385143162393,-2.60422303808597,-5.23488110856361
"AR",2013-01-01,0.577787095520924,-0.272250152698229,-2.25147436452857,-4.67618662527839
"AR",2013-04-01,1.68194920753427,1.29251857197834,-1.74083993695448,-4.03563492168628
"AR",2013-07-01,2.18369681435592,1.21191043460851,-2.16308867886038,-3.20868258755674
"AR",2013-10-01,3.19808925191673,1.01195404023119,-0.219705749200909,-2.00196437607684
"AR",2014-01-01,2.24699095970102,0.0198701219594928,0.329186153451768,-1.697645593341
"AR",2014-04-01,1.25062759340138,-1.80447351261692,0.281923462423123,-2.89844221433736
"AR",2014-07-01,0.242147314755188,-1.5393023742095,-0.565728058217846,-4.17263882249456
"AR",2014-10-01,-0.986582069694328,-1.1660003388536,-2.07404377838508,-3.02556956395333
