"date","c.hp10","c.hp3k10","c.hp25k10","c.hp125k10","c.hp221k10","c.hp400k10","c.hamilton13t10","c.hamilton20t10","c.hamilton24t10","c.hamilton28t10","c.linear10","c.quad10","c.poly310","c.poly410","c.poly510","c.poly610","c.bn210","c.bn310","c.bn410","c.bn510","c.bn610","c.bn710","c.bn810","c.stm10"
2010-01-01,-9.40180389440189,-5.35654304104088,6.02432776708883,8.96970966771158,9.34319692265791,9.56661315252717,56.6327387899352,-13.300716487191,-13.700939893434,5.30597063974375,9.57804878048785,-10.3829268292683,-31.714021554169,-14.2914685711339,11.129915433404,3.51963020049783,2.32354454256395,13.9043605509961,5.41843914271377,-7.75657282281098,-28.0904315697975,-6.42932016089807,14.2882634899829,15.9527560422215
2010-04-01,-22.7729114175539,-19.7532169528158,-9.9757385379383,-7.30407186181088,-6.96308817849615,-6.75890706041309,24.3870354981529,-9.09971099981925,-10.2978371606313,-3.78523773391834,-6.63036585365853,-25.1243989547038,-40.0426108094968,-12.9850094106122,9.62535786108396,-0.969873917976713,-5.59028575338753,11.2453663983372,17.4821599693883,3.23135445831381,-7.14906229656983,-25.5574284816555,0.166543659523834,-2.20076177221813
2010-07-01,-29.9361964521178,-28.170799353154,-20.5287156521397,-18.2516954082557,-17.9582502783523,-17.7822692945658,17.6770911982943,-11.3394787045395,0.666474410404646,-14.4459558634754,-17.5420731707317,-33.9792682926829,-40.3122348269994,-5.79449672562276,12.5570007219103,-1.41546770574178,-12.5191453739349,5.50881743769347,18.4874019965367,15.5374694543344,4.5348556910208,-8.29638719146817,-15.683078677783,-15.1167487889292
2010-10-01,-34.7984123359674,-34.400864070592,-29.110671223368,-27.2647132646989,-27.0230478465499,-26.8777676194604,21.2042418091922,-4.04336780755756,-0.502155225512467,-15.8802450571457,-26.7601219512195,-40.7720557491289,-36.7519933554817,1.90980250605872,15.388205795906,-3.02520974623724,-8.44876953019001,-0.339693588302816,15.0758978407779,6.85397759756039,16.187882609873,8.55087141225396,-2.704033626451,-22.8861385422502
2011-01-01,-33.7566801690269,-34.696761950804,-32.0212275694204,-30.7132573268593,-30.5375437150641,-30.4314998527182,-34.2096460307546,-16.4773432308176,-3.12332930708783,-9.68758510484025,-30.4521951219512,-41.165043554007,-27.7166558625719,12.3656635126075,18.4482571030785,-3.93206287455138,-10.3156921542966,-1.09853197826115,8.49626867239784,-0.10516405131674,0.597212513486688,20.293894691973,14.1638488693564,-24.9751003128805
2011-04-01,-23.0551822396814,-24.9655718638966,-24.4350020020418,-23.6038205685209,-23.4872278809354,-23.4164218440982,-20.2874472064175,-8.18034845897023,3.15457411670138,2.74237960961847,-23.5587804878049,-31.3328222996516,-11.2232874159306,26.4431959985561,21.8945402980455,-3.57436928161434,-8.984454901613,-9.19581281500873,2.12983764075896,3.09111168385961,-0.778224271717068,5.51637925790144,20.1231005280995,-16.6618323007717
2011-07-01,-20.2972418462857,-23.0492905434787,-24.6779386450888,-24.3713334108449,-24.3206317222147,-24.2891806457818,-42.7554996579631,1.97582588963286,4.34063450767252,4.52867711028659,-24.5539024390243,-28.8716724738676,-3.52565999513808,30.0746364667664,14.6882127571797,-9.615746997462,10.658907903801,-6.39592008919044,-4.0689529051146,-8.25104685354864,-3.03775177142593,-0.125162416622411,15.9583998739898,-16.2656711159888
2011-10-01,-14.5026962970562,-17.8743114221302,-21.5131713201331,-21.7498895909816,-21.7683918822674,-21.778366407781,-75.1193544776797,6.94174008352411,10.8095734494748,5.93339643357245,-22.0121951219512,-22.8030487804878,5.71850822461715,33.6389070798743,7.20620430051969,-11.5217062073053,-1.80836181269709,4.4553257519781,-5.40619207643403,-9.6183528929812,-11.8557904708767,-0.108359888281442,12.3549859808189,-14.6461810173172
2012-01-01,-5.87465122696739,-9.50216047894378,-14.4349545905014,-15.0616118439062,-15.1303517864644,-15.170451917423,-31.1454719214662,-1.09466580987146,17.5207759442032,13.0198770893422,-15.3342682926829,-13.8017334494774,16.414538530103,35.8371467797661,-0.0377922446257912,-10.4963806135769,1.41964382970827,-6.11263045689993,-2.15878004980797,-2.79167666303668,-8.26143958532411,-11.2007322726597,5.50477218196324,-9.36682003912694
2012-04-01,-4.77591098284,-8.53822657335826,-14.5028696918286,-15.4614379498519,-15.5732177909372,-15.6391531330531,-20.9051859498171,-0.591586544536881,17.3640064334564,12.9251553007207,-15.7218292682927,-12.3534494773519,19.6733230694434,29.1432011550561,-11.5182877842535,-11.2854030925516,11.240211201566,-0.818574304295768,-5.31086540426559,2.46046585679412,-0.619020669392498,-10.0517168520623,-6.75165014323528,-11.3005930894419
2012-07-01,-4.21780829043234,-8.00994780603543,-14.6945815565535,-15.9027160389193,-16.0470679465675,-16.1325742606379,-7.72005544829153,1.70996187009115,7.58248666781333,11.2837434879244,-16.2293902439024,-11.5263414634146,22.6453828701078,20.5948628371062,-19.1837361419077,-8.87909023650133,1.51501065864402,6.31656257106117,-2.23894808792287,-6.01218934750114,6.75768449537706,-1.75137943233763,-6.77873403274834,-11.8741367290209
2012-10-01,-7.86093289077257,-11.7372110552243,-19.2139595366014,-20.6853543913427,-20.8639680038896,-20.9700519429896,8.37879262922178,-14.7401874998656,2.66838906960095,-1.95368560289569,-21.2912195121951,-14.6940505226481,21.9800291710559,8.30533117619763,-24.4835074511424,-6.44603732520926,2.9378246353843,2.91099864386727,5.88185116811062,-3.22117221071759,-5.93621018076325,5.7030118693041,-1.40145381487633,-13.854748740039
2013-01-01,-7.46763009629746,-11.4159652678354,-19.8753634290975,-21.6950275679543,-21.9193320049345,-22.0528927905195,12.9613062639963,-1.87080579582164,0.696205379625667,-3.27152386394596,-22.6648780487805,-13.0068641114983,24.2147581233288,0.0580364048882984,-22.7947826535346,-0.552594761890759,-4.99199132767389,2.81324198502126,3.86721624743997,10.1028200314345,-1.4524495419192,-6.40127180099135,-0.868447942412842,-11.1761593443792
2013-04-01,-8.70261749726086,-12.7931140725644,-22.717078236827,-25.0566798970602,-25.3493084205348,-25.5239682900701,7.50436862018807,-4.52457697319051,1.28369714810583,-4.16983663895167,-26.3639024390243,-11.9155574912892,23.4148707560166,-8.33122389522003,-19.8964110761608,3.73162716713222,0.414635674872668,-2.47383840705255,4.93836940753981,1.7422725995364,11.9074395996357,-2.06548954041363,-5.26624940119012,-11.8660653541891
2013-07-01,-7.13336661425393,-11.322157463842,-22.80903875659,-25.7288722362593,-26.0981036909162,-26.3188758341836,1.97158969325784,-6.00213841254674,0.827665574596665,-1.7000088821647,-27.4117073170732,-7.16388501742159,23.5126237744105,-12.9565900067034,-13.6975656164592,8.21743359885841,-3.8049326323691,0.543214261371753,0.758341317542766,4.21750155048273,1.22563326312685,10.1254264704087,-2.57281043770777,-9.54317215648086
2013-10-01,-5.94812949354031,-10.2515632830887,-23.7298080202199,-27.3997237939259,-27.868160968527,-28.1486684408155,-0.0146646446561931,-0.718521472855684,11.1260999654057,1.27175327280679,-29.1070731707317,-1.88320557491289,21.0027388380196,-15.8632354457794,-8.47168411282365,11.1277513625516,0.291600181063623,-2.41784828100412,2.16322191241619,-3.35862672071868,3.13142712650285,1.30415182687797,9.23464599992222,-13.8063691068046
2014-01-01,-1.88074516966424,-6.10450199722823,-20.9379163740966,-25.1800744479097,-25.7249343077434,-26.0515263101117,3.94036139251864,-0.642131845959284,7.85035925240351,0.15804989448776,-26.855243902439,6.02485191637629,20.1354347297626,-15.7365383127933,-1.5964830093327,13.010374176924,-1.6331163987374,-1.38371546013663,-1.13367881756394,2.71989670640695,-2.63630678770148,2.96225637163327,2.58793516175388,-14.3154539585653
2014-04-01,-0.556951712605951,-4.60963323067404,-20.3806756793926,-25.066513093806,-25.6711507167157,-26.0338378185989,7.17645423603693,-1.38561220568187,1.6586022391453,2.70984688857567,-26.610487804878,10.8339808362369,15.9187440239851,-16.9707491105038,2.6309199195594,10.9799186786365,4.16996507908241,-2.05308727542326,-0.383425375554183,-3.02354792849751,2.28317092386341,-2.89356002554146,5.26083798451904,-17.8549612139948
2014-07-01,3.39859501990009,-0.289415080463073,-16.2064726380214,-21.0946978938491,-21.7278715443403,-22.1079034618597,11.6656944910652,4.030372770599,0.522827900430059,1.1339692157199,-22.5114634146342,17.6516898954704,13.7143246090268,-15.2947635744857,8.09556541020044,8.55934794939355,-0.599146531804279,0.234790564977766,-1.98772358514577,0.42252515071786,-2.96198550902936,1.97349544736565,0.736603817982326,-16.5708142795752
2014-10-01,5.13655193435466,1.9049801021643,-13.6605966508051,-18.5894438178203,-19.2300702764829,-19.6147807121544,18.4876104120987,9.42126100595306,3.68882967194372,0.382894813812413,-19.8571951219512,21.743893728223,8.9949104610647,-14.4245494508327,10.7041842417376,3.59924825519505,4.57240064147329,-2.38795116400055,-0.921200769423805,-2.70953611456059,1.35285453689805,-2.89662511818473,1.0511833444171,-16.4491885256529
2015-01-01,7.301582407627,4.61338821447004,-10.1432922572391,-14.964377345674,-15.5931178678815,-15.9708885511814,29.5037618850675,14.2320230396423,5.4957143089664,1.87074878163799,-16.0180487804878,25.7414024390244,4.42072603516726,-11.7902368122518,12.2500907543968,-0.828067461593434,1.56738984370525,0.507732975995568,-2.67351383571324,0.535516957897709,-1.38395551951685,6.99094797669872,-4.77802558157759,-15.5568509520264
2015-04-01,1.75651676062029,-0.559283622003989,-14.5965778302662,-19.2850754430707,-19.8979909287694,-20.2663903189666,19.7259654348321,9.32393654763746,2.24608084378207,-0.21266338625054,-20.0935365853659,21.3916986062718,-6.56338222186218,-13.110276259475,8.15268885680433,-7.10743538681874,6.38781930870155,3.02596034831626,2.48307034044164,-6.51568574932326,8.65389719557397,7.42208344605829,5.33183253261208,-22.9697887773083
2015-07-01,1.12283087694675,-0.848011806472925,-13.9932551743744,-18.4703693143393,-19.0568799350825,-19.4095230860726,20.8624465032013,8.85124019298723,5.75075783861007,1.37212936862335,-18.8541463414634,21.1873606271778,-11.9267417551253,-8.16749149177525,7.291270561543,-7.01993199585979,-6.27206525408633,5.13893501849514,4.16573810218841,4.76311503843994,-2.88760660176637,4.72479351975874,0.676195786528446,-27.4825175007816
2015-10-01,1.02157984553668,-0.558947502675267,-12.2023954075608,-16.2406879068935,-16.7707261612542,-17.0895094318129,21.1720802575984,9.89225360748281,5.2675060564132,3.36453945389945,-16.2581707317073,20.2413501742161,-15.1961016125113,-2.77622144588241,5.80685994946595,-5.78045149079065,-0.705786313712943,-3.42125972552632,4.30733846239063,4.77121603873104,6.29224173791143,-2.52298623752703,3.39759604902064,-28.9088193050839
2016-01-01,-1.36543124110352,-2.62655420404565,-12.6072617464393,-16.1148589115368,-16.5759009442258,-16.853249097978,12.9915528382779,9.59499299236978,1.93408911643229,2.05409467473754,-15.7379268292684,16.0224390243903,-18.9225921724335,0.720347548084533,2.08489377610397,-4.37531702384803,1.10288506259123,0.794037264050594,1.0840230844921,2.50743530935482,1.79299790628296,6.47510014823341,-1.93233160243426,-32.4981761119116
2016-04-01,-6.02275905656876,-7.11023256642858,-15.4511938232984,-18.3814620527014,-18.7666880126177,-18.9984348551614,4.36134895417388,4.51439744251189,-3.76555691091227,-3.61086416246474,-17.6076829268293,8.51287456445993,-22.4097885098453,2.16946965399899,-2.21916335791394,-2.39956003846845,-0.646199376129504,3.5281632449564,3.82311551200552,-1.81004887610003,1.66285234666809,2.19928669618435,1.70314161860507,-38.3550854499275
