"date","c.hp15","c.hp3k15","c.hp25k15","c.hp125k15","c.hp221k15","c.hp400k15","c.hamilton13t15","c.hamilton20t15","c.hamilton24t15","c.hamilton28t15","c.linear15","c.quad15","c.poly315","c.poly415","c.poly515","c.poly615","c.bn215","c.bn315","c.bn415","c.bn515","c.bn615","c.bn715","c.bn815","c.stm15"
1985-01-01,-3.58817958596336,-3.54588903715914,-3.82420723580354,-4.81470507934702,-5.03846377079755,-5.18959482400635,-1.69226461625131,-3.78077112376599,-1.81940056413761,-1.16109169809448,-5.29934426229508,-1.10126123744051,-5.23971913743462,-4.1765326620248,1.2702665459871,2.37895011288317,-2.05251422097575,0.342428753316241,-11.9780600459048,-0.710046855156108,-2.27466169661865,1.4349486040973,-2.55022690291362,-5.81199620104384
1985-04-01,-2.70068383791177,-2.78027156170785,-3.23956916787536,-4.21475522294659,-4.43181127935758,-4.5781256047223,-1.19454832421815,-3.79888578199186,-1.69095623981637,-0.768735671154403,-4.67196721311475,-0.620552617662611,-4.43532992537752,-2.48884757476937,2.88683678761747,2.92704556163514,-4.63134198167557,-0.850576239392085,-7.57258211340407,-5.48132913701539,0.674330628249042,-3.29861292523586,0.323367432432782,-5.340766324397
1985-07-01,-3.45012454966418,-3.67369615007868,-4.38745032401297,-5.36186892468301,-5.57359677200991,-5.71583801997815,-1.75101875877418,-4.49239785481561,-2.67187105469777,-1.32704370278854,-5.82595628415301,-1.87067689053411,-5.14797696691932,-2.35828797961105,2.94355194646712,1.89558294858296,-2.82217755655615,-3.27021044599838,-4.41584845059281,-2.0941174541231,-1.96339876163114,1.29948085899115,-3.25653565920809,-6.1874967703012
1985-10-01,-2.05290977522515,-2.36539524460059,-3.25548053860645,-4.23684351356133,-4.44650107518963,-4.58700845212779,-1.40081559205974,-2.38494131117636,-1.34515143319967,-0.745790043190851,-4.68715846994536,-0.805552617662613,-3.81052118220811,-0.255496063223475,4.3413179839727,2.26485204884203,-1.81650783985449,-1.93125275163967,-10.7828463470841,-1.30440480014729,0.187594094875716,-2.45754081019171,-1.63261406375116,-5.16274191130887
1986-01-01,-4.24784389084822,-4.71559470670971,-5.97409306524702,-7.04231858346257,-7.26367458217564,-7.4113383755376,-3.71628828851186,-5.07812403259251,-3.72457953089443,-3.59910136406315,-7.51825136612023,-3.51631676361713,-5.89229801986015,-1.38767480463014,2.69675080340076,0.0533784695395099,-5.89416934850868,-0.171274284735838,-15.8414995962581,-2.92366553844558,1.03064038417624,-0.977670114598596,-7.92009808509142,-7.98179462630858
1986-04-01,-3.34931031978272,-3.93518437215437,-5.51062411923553,-6.66017386842807,-6.89279269382426,-7.04739089253117,-4.22050301268888,-5.11625126733936,-3.56870708031065,-3.0202241888197,-7.1467213114754,-3.06508461131676,-4.86089194429753,0.358161466596144,3.58250803400728,0.359491332086677,-8.7530570912392,-3.54922246977338,-12.2882584679357,-4.77287902981631,0.430502441082291,0.570679353918627,-4.4180236694089,-7.80809743034676
1986-07-01,-3.7557251061225,-4.46732159805148,-6.39427102326657,-7.6249953486772,-7.86773521009518,-8.02838732321057,-5.31913813041092,-6.10231268195488,-4.98296837483042,-4.19841124042988,-8.14650273224044,-3.9855737704918,-4.99613490804394,0.744679475879863,3.1773817272099,-0.531856550596345,-4.12943930701549,-4.55793089763941,-13.0161181466418,-2.98851980220658,-1.19870868521082,-0.0722681450098615,-1.33674435389536,-8.60651891052477
1986-10-01,-1.83775129346466,-2.6006646832614,-4.74320178434876,-6.03488681021709,-6.28589864351815,-6.45160806395657,-4.92634062052318,-3.35503607327898,-3.8685648778815,-3.79680625306644,-6.55562841530055,-2.38592543627711,-2.87739467653799,3.08870857570948,4.24301071878941,0.0984223175917265,-1.37360349178723,-2.51727414079537,-13.6845502079997,-5.59313261989788,-0.318326038605352,-1.77138133251547,-3.42748019684788,-7.28834450121336
1987-01-01,-2.58223582923256,-3.41456188301569,-5.82012487243769,-7.17395929530026,-7.43220061522891,-7.60213573893827,-5.3265716924352,-5.1931472756792,-5.01737745279723,-4.50755276709124,-7.71650273224044,-3.54555261766261,-3.25070098125624,2.74505093571888,2.93959662164909,-1.43498572014423,-1.77605397915125,-0.378389257366486,-8.30258584925771,-5.23079736077483,-2.67308376432904,-1.19731813615025,-4.01262571693482,-8.35111765725959
1987-04-01,-1.28082919757031,-2.13058324094986,-4.6959710009469,-6.08709922991355,-6.34898334127983,-6.52090991563709,-6.92966771995262,-6.55997461902825,-5.32868329726193,-4.06246344771415,-6.63765027322404,-2.52469857218402,-1.59533815147775,4.13528023826309,3.20439053410894,-1.34429655825755,-2.54384266252915,-1.03625071457604,-3.59989777910579,-4.46475840711286,-4.50781373899191,-4.38955905595171,-1.23121575016541,-7.26401933574624
1987-07-01,-1.49105081355289,-2.35811833767141,-5.09012049460071,-6.52205489885665,-6.78809358243679,-6.96232807220285,-6.99425064883279,-9.89998249491107,-6.7844167108123,-5.34261289642038,-7.10300546448087,-3.00801163405606,-1.38745754744697,3.95579040337266,2.08663166619209,-2.37680996521904,-1.48359358033029,-1.27232841343207,-3.35967636560777,-2.80234786657234,-3.67414722966429,-3.90682725283341,-3.53187492379274,-7.40985721863747
1987-10-01,0.693143995520884,-0.109414597593826,-2.83312770248544,-4.27155387431456,-4.53773973499401,-4.7119274989269,-7.51548012649167,-6.489110101261,-5.03268306862034,-4.9248944974445,-4.84775956284153,-0.844370703331563,1.07985428051002,5.77776345554966,2.62045565024609,-1.62972106401375,0.963553011669534,-1.39273030424625,-3.66283275050282,-3.60184173449846,-1.14119943316118,-1.97331141890488,-2.14867562754341,-5.23076312452137
1988-01-01,-0.054686574530578,-0.812755250282194,-3.56509026367937,-5.01811584372922,-5.28548064036026,-5.46024243810933,-7.34689874243423,-7.5070189176116,-5.59099161679644,-6.22353985960635,-5.61098360655737,-1.65904019037546,0.699024619542868,4.71226331599973,0.668113635439113,-2.98773457097674,0.128939309391443,0.903223962355673,-3.91100404679068,-1.84182461377154,-1.8906973994747,-0.533209809042633,-1.97566188740223,-5.78828218345713
1988-04-01,1.0277985072302,0.355080006737992,-2.32795318755666,-3.77455280850437,-4.04052193142842,-4.2143243659295,-8.74690644879071,-7.74361899075761,-6.76586433038568,-6.47332925527991,-4.3720218579235,-0.498061872025389,2.06946236559139,5.26502291556493,0.28449843387709,-2.57800465091067,-1.18444763934617,0.230155054273877,0.254992926846939,-1.90370318141149,-0.474484649787282,-1.69726812362827,-1.19748733875377,-4.44213199646788
1988-07-01,1.79035698067918,1.23095506841565,-1.30032667823671,-2.71201583883688,-2.97201110388092,-3.14193857220648,-6.47531222127472,-8.73554909826167,-9.75685222919127,-6.71464053640389,-3.30901639344263,0.444328397673189,3.06589223808683,5.33837604295196,-0.494348482691265,-2.33808008413712,1.92239396860999,-1.36207612155274,3.04622724697096,-1.19461126605446,-2.39942170068748,-0.678874679163518,-1.60086849061629,-3.19826096132238
1988-10-01,4.5189885951058,4.16660194999989,2.02586518878836,0.72204771551246,0.479213437864416,0.320214109344107,-5.85998521075722,-5.55718193040178,-5.74200555525142,-4.904407255067,0.191803278688525,3.61669751454257,5.85058816616723,6.91372638668545,-0.00833787576780765,-0.795456353646045,8.3582484526883,0.0408708445074859,5.04973902550964,-1.8816000623156,-4.36944415172393,-3.17804510153862,0.135245110635879,-0.130137720277858
1989-01-01,3.64088936018238,3.46233190533503,1.69159808926491,0.527318506117126,0.309139549091455,0.166158488017444,-6.01289050681618,-4.63761579866848,-5.17861382897786,-6.62225621580166,0.0609836065573717,3.04855631940772,5.15893060696868,4.91007550384863,-2.3170126713583,-1.89642810411047,4.65965203720725,4.63209094719377,7.02925805896608,-0.0475320811035186,-4.37595092679986,-4.65707281101095,-2.34746523385704,-0.394433761746015
1989-04-01,5.41562201509169,5.46442498356411,4.24441698085872,3.31346032505012,3.13715109247455,3.02143549358208,-3.3808186460453,-4.55144938885785,-3.51011529927827,-3.4721123277082,2.94191256830601,5.25344526705447,7.05270462424349,5.17028064222342,-2.11733128584798,-0.80412354743882,4.60338274776429,3.08459261561391,20.9273780119846,-1.47530626520735,-4.44770013599666,-5.73658482044343,-3.67620722088483,2.4706596570345
1989-07-01,4.07519947087539,4.30046851984248,3.55167680166383,2.8345113483272,2.69701305963382,2.60661999942124,-2.67718191816192,-5.20461548395768,-4.87207543047124,-4.07997759522804,2.53010928961747,4.25707033315706,5.85077149068687,2.55407100152772,-4.13536788634426,-1.77147455389328,3.99038893261973,3.30667116878082,12.5990274356042,7.02661391483129,-3.39793923267755,-3.98418796549909,-4.48581275135917,2.35151635635708
1989-10-01,4.51202167633073,4.92223966667876,4.68484374398172,4.17629935103122,4.07513311036114,4.00825951571912,-4.01658342688388,-3.52822615734398,-4.13727827908168,-2.35780241600145,3.95322404371584,5.13905605499737,6.27617486338796,1.72795533668257,-4.25202395964695,-0.899097267421809,1.85452690915713,2.34706408510578,8.08480674156642,3.37983270743305,1.56982201225844,-3.59321644247858,-3.65966971896085,3.77100077367263
1990-01-01,3.40141491888305,3.94973384346979,4.14878196344372,3.82819025011662,3.75992377830269,3.71436304285221,-4.25580910215758,-1.19979473807105,-2.12323383473006,-3.68423312723064,3.67081967213115,4.39046536224221,5.14242787472823,-0.418798658851827,-5.20939099174232,-0.954348355572009,1.99935853904511,1.22262712482035,8.671390682046,3.0325687220304,1.40747195996111,1.11551701455526,-2.01516344681065,3.60408419587226
1990-04-01,3.55705588556187,4.23849080485368,4.88924201013165,4.76057942177026,4.72543785508957,4.70127341066411,-3.49318756349695,-1.84013052576435,-3.06221997091104,-1.73891026645676,4.6772131147541,4.93653358011635,5.17456724836946,-1.26383637405249,-4.71950265427333,0.103941731411993,1.79972684532228,1.29979859535164,3.62341812973909,3.54591412277949,1.41205834783419,0.660305562755442,4.10688303779802,4.61062355200768
1990-07-01,2.8824454460491,3.66258073094987,4.7186101262128,4.78072685118165,4.77918366375503,4.77679966918109,-1.98123402714198,-2.88433789739776,-2.60278987015889,-1.57530275383947,4.75125683060109,4.59134584875729,4.34010693930313,-2.76852010987716,-4.59401176626129,0.462910276748573,2.5654610474756,1.0461912188913,5.4395745984701,1.01674654321002,1.88510960477285,1.88245698195227,4.72800687430097,5.00049674519501
1990-10-01,1.79974449141427,2.63453898048424,3.98668101313731,4.16752926777161,4.18516085478578,4.19498633990123,-3.508295497909,-1.98672551671613,-1.33506094759466,0.455583253637428,4.18846994535518,3.80949497620307,2.9891826781832,-4.31994443709966,-4.47594628401748,0.729927261724711,-0.140502923127914,1.98704699667719,1.77981932028937,3.69174230209707,1.25634053572787,0.98573104189832,2.01950345094539,4.32288676449832
1991-01-01,1.69313916922104,2.56609978741955,4.20880471446546,4.53633093424997,4.57950154300755,4.60583603773027,-2.87095083879407,-2.61210682791335,0.9953702015044,-1.72760686770623,4.59387978142075,3.94885510312005,2.58801574710617,-4.84089785680703,-3.23456021437586,1.54145368920216,0.659889085027664,-0.305507736778147,4.78343730738622,0.830464235194488,1.61440477265902,1.19161962146211,1.80517030059503,5.03413436341404
1991-04-01,1.81045618534066,2.71826597375724,4.63830790925692,5.08807896396689,5.15126863750116,5.19038086003398,-2.11960801660794,-4.90772013450595,-0.287673221580164,3.39638595730756,5.18661202185791,4.36601004759387,2.25734414477935,-4.96514263470233,-1.8917793292113,2.21095202985767,2.88474720797988,0.0659355445439387,1.58041116293682,2.31288204355208,-0.444485401786366,1.33819800749151,1.79749894236171,5.68164401740123
1991-07-01,0.984399972368294,1.89096997117008,4.0116657834689,4.56347854111576,4.64363937950081,4.69361144318403,-0.693801599570406,-5.50012896494276,-0.770471229185446,0.679901932568598,4.68087431693989,3.76907720782656,0.938352429637476,-5.73572973588338,-1.28819600943743,1.9932632052637,1.17586167188116,2.20357310152113,1.308256759499,0.864112620354411,0.930053448720689,-0.508282178960019,1.76593234824935,5.45894471315654
1991-10-01,0.942133488725673,1.8414409592157,4.13014121912111,4.74751246492804,4.83688457686722,4.89251925885559,-2.93609475842165,-2.67577507537115,1.65040103520717,6.54163152534817,4.8943169398907,3.9907033315706,0.262789823138846,-5.4758646586168,-0.142369472806422,2.33850120849094,0.676833582942814,0.875424293888452,4.00479045654701,0.248181948455316,-0.199727812370768,0.462226634638264,0.04028038323224,5.53955257541976
