"date","c.hp15","c.hp3k15","c.hp25k15","c.hp125k15","c.hp221k15","c.hp400k15","c.hamilton13t15","c.hamilton20t15","c.hamilton24t15","c.hamilton28t15","c.linear15","c.quad15","c.poly315","c.poly415","c.poly515","c.poly615","c.bn215","c.bn315","c.bn415","c.bn515","c.bn615","c.bn715","c.bn815","c.stm15"
1977-10-01,0.547970183157005,-0.589344756028908,-7.14964937533819,-11.3734137183426,-12.1695500065164,-12.6918999963625,-6.24033739977556,0.36201018450366,0.401336099671134,0.151416944773331,-13.4803825136612,-2.00339502908514,8.20115752981961,0.169187011575346,0.192098147093446,1.17866455816367,1.38224371274585,-0.22859906519701,-0.713914520496503,-0.957770380429959,0.18024008946642,-5.27047596435584,-2.29307926292167,-9.05825288500312
1978-01-01,2.39689612974188,1.46678021382959,-4.888161130216,-9.36334287237678,-10.2212094835131,-10.7856997564548,-2.27430197237697,1.07904357291403,1.2478737126484,2.20901965781665,-11.6229508196721,1.09086462189318,9.48635407485751,0.821542467242537,1.220869757556,1.36251483070967,-1.29427201924972,1.83549982140263,0.240975871034253,-0.858786096141102,-0.718303420133483,0.285265219857024,-4.75779344669296,-7.09890282112839
1978-04-01,3.74163450487973,3.06135298596018,-2.92953421829372,-7.58139281204525,-8.48787112619085,-9.08600464353992,2.75113309371368,3.37204455346328,3.77388552548792,3.8172924555149,-9.94480874316941,3.8172131147541,10.0367048592749,0.997067431987809,1.44656612293046,0.969838972393198,1.11438016917441,-1.07423662414066,2.31414697409218,0.0081733385632038,-0.353558591120634,-0.432508525386461,0.441619824922191,-5.60215738682385
1978-07-01,3.29404011324181,2.8435894822109,-2.76893580079039,-7.57030687173236,-8.51999412783046,-9.14819915008609,2.95824920891857,1.74392534801486,3.06707254547098,3.04774432507076,-9.99295081967214,4.68932046536224,8.70109172101769,-0.302042202832098,0.211934670300572,-0.410628567844526,1.26938273366068,1.26507027262794,-1.00736555058139,2.09971579879077,0.538648506860267,0.250766516072601,0.555433007213616,-6.30205225855043
1978-10-01,3.26141162913753,3.02672253567077,-2.14118090945085,-6.9881955879748,-7.9591287716821,-8.60272105791672,5.93634394448681,1.75204049324119,3.9737086105869,3.79801401987022,-9.43857923497269,5.83413802221047,7.80153593043071,-1.0958599579881,-0.32032964853763,-1.06960946080584,-0.31085841013853,1.4337593303673,1.4912414666007,-0.9334156604936,2.9675993140607,2.09592619240306,0.975283228984685,-6.11701772621767
1979-01-01,3.16207687601365,3.12780431239989,-1.55893392335528,-6.39118357675034,-7.37072477814298,-8.02127116529294,3.85620121585836,2.82486020665012,3.52505660355218,3.86070189239732,-8.83661202185792,6.82147012162876,6.78485692461368,-1.76626748046299,-0.751033386893361,-1.436231253983,0.0515079229988876,-0.321785983786928,1.76898364541831,1.70958135190371,-0.288217435840777,4.72351291882719,2.75213958109024,-5.93528417878156
1979-04-01,3.0116619700267,3.15945700765767,-1.02169233826343,-5.78437632338952,-6.7608671427986,-7.41056837431891,2.77285450784831,2.74894653544831,3.62375993391542,4.03328960677788,-8.18825136612022,7.64710470650449,5.68658793113581,-2.29949780392501,-1.0903283773339,-1.53352719189401,0.0605923677826866,0.174631634945589,-0.291169813571918,2.27211611360105,2.91385130074273,0.253522482383547,6.44692768485335,-5.84758597547037
1979-07-01,4.90226492074224,5.28007946302498,1.79625434128045,-2.76558823835327,-3.71350437141969,-4.34551800594332,6.3669302809856,4.90173340801248,5.97158858658784,6.57959911852711,-5.05060109289617,10.5220280274987,6.55607027439923,-1.01778912538925,0.109543231094669,-0.29767726511519,-0.567987891960544,0.681361724390892,0.820535432785871,-0.00216557316124013,4.40947110999133,4.27158708529097,1.87858533434527,-3.55076350189158
1979-10-01,5.50379134524351,6.11398803371107,3.4295017499927,-0.805355249503144,-1.69830232986438,-2.29500656596334,6.53101756583902,6.61242888978224,7.78027844482149,6.91440732113747,-2.92857923497268,11.9646827075621,6.20043833362715,-1.09422189905398,0.114718047024361,-0.416604225141725,1.57903022821612,0.117257079520169,1.50530585168337,1.20176812899632,1.65076190539615,5.34733673680499,7.05654660133288,-2.007139386255
1980-01-01,9.61857913896856,10.5810566481806,9.07741740280422,5.39197197365031,4.59622616386268,4.06259134108957,12.7983772906876,11.5725815314808,13.4828085300725,13.3075812614547,3.52174863387978,17.0980883130619,9.20237029202659,1.71745126770082,2.54186338119838,1.38101715786038,0.92379208280511,4.3427645704638,2.02624812951768,2.36824734653312,4.60854131309551,5.27074191838497,12.9736077958387,3.93337858552758
1980-04-01,9.09549911528807,10.3778672096493,10.0509403140244,6.95975240151512,6.27118448386085,5.80733565635126,14.8154415067938,13.3800314622918,14.8473579063637,14.9150743830865,5.37415300546449,17.451092014807,7.5765943945003,0.186885245901664,0.849578977342063,-0.489577553593463,5.48900557666005,1.16448428160733,5.25434016419228,3.08508904785826,4.66116651534082,8.69001056802175,9.4487309274782,5.15413678964042
1980-07-01,9.27292156362039,10.8606079862939,11.7652121645731,9.36265851613548,8.80137542954574,8.42077158325769,17.2971400271628,15.0360684516674,16.0481888032153,16.6888177289135,8.0792349726776,18.3774061343205,6.67214642458433,-0.534496555320516,0.119778861408321,-1.25842325828108,2.06500748105577,7.4598688546644,5.90245084713555,6.87678915388054,7.23972402614304,9.48887617995456,15.6446373554198,7.65314752566904
1980-10-01,8.64831666790053,10.5035680968735,12.5900276097594,10.868289285026,10.433214003911,10.1351868140161,19.1126997524592,15.8569352863461,17.4523766111566,18.103141532962,9.91710382513661,18.4007852987837,4.90481579411249,-1.66675810858452,-1.10513001871209,-1.9583932832986,3.19566395300425,2.50124896669646,12.9699097782329,7.05734465669211,12.108259867636,14.6294348548538,19.8058223514328,8.81349077130312
1981-01-01,6.35638017720953,8.38013968851179,11.4722735841235,10.4179346610908,10.1096705505624,9.89496577228162,18.8232001400654,16.6661002465635,15.9992821980793,17.0494263973933,9.7911475409836,16.4190560549974,1.62505317586231,-3.94327938627416,-3.08454307855014,-3.00996977077686,2.23570071125213,3.23140355004939,3.19192048712474,10.1646994962511,6.5313780052994,16.617141355657,17.7549430070929,8.16398143679803
1981-04-01,5.34122831135122,7.47732393604991,11.4784179897486,11.0911999404724,10.9116900346767,10.7818061061729,20.4389229902245,12.8400166882466,16.4962269256467,18.4184872579109,10.8003278688525,15.4926335272343,-0.292413185263499,-4.66358022651154,-3.46449563722891,-2.35421811651739,0.178331836506047,2.67367805690771,4.48160564319146,4.76648688138373,14.569876605332,15.8754092065725,19.8731083549139,8.55770855030889
1981-07-01,3.69054545677533,5.86223514745168,10.6147559967907,10.871343942794,10.8187127400602,10.7727014680331,20.276543066538,17.3937666788373,13.0057414589409,18.1271229794809,10.917650273224,13.6375383395029,-2.67967683177621,-5.69849524795816,-3.96927195622983,-1.80795530278441,1.50771382961098,0.448586399128013,3.18621226995066,5.93875751616894,5.1881268680305,17.7803899701166,15.2102702835948,7.9931197535998
1981-10-01,3.5670978083527,5.74880917170333,11.2171786784583,12.1532804834422,12.2366153465513,12.2807104831364,23.8407230684654,14.004644488098,15.7346418132765,18.2805785047983,12.5493989071038,13.1125356953993,-3.38669134496735,-5.2482394676538,-2.93952406134315,-0.18054843116569,0.671034775115811,1.75804714669479,1.23771466233138,4.80130649362202,5.89893487130572,9.5699766489215,19.0516252086782,9.0722833875449
1982-01-01,2.26900602344404,4.39905285126598,10.4457160467344,12.0503336682669,12.2703622659956,12.4053598518442,24.2592421584624,19.7084557527057,18.2443011472206,14.7518122565844,12.7667213114754,11.1605473294553,-5.07100769727948,-5.80746592044187,-2.69670117560909,0.349075970520914,2.25499908088597,1.15053665851464,2.64793521273424,1.16437151194739,3.5398225635936,7.8047068574229,6.79151941856267,9.20916091579471
1982-04-01,0.141413082170061,2.13643524756554,8.52723211832823,10.7061975971941,11.0467615661265,11.262234301571,23.2699557403688,17.5022117421388,11.5032075283957,16.7927275549615,11.6874863387978,8.16645690111052,-7.45438274869261,-6.78135062283333,-2.83303756661094,0.518923917611318,0.706737823652446,2.6651935139832,1.13628537420622,2.07543881999303,0.785018304292488,3.5173457127986,6.45857737685761,8.33325250306486
1982-07-01,0.996290894075045,2.87769359423321,9.60344929754197,12.3188935190969,12.7717835536983,13.0622237123651,26.0950194456903,22.426435884759,18.8122746407859,20.8563410324956,13.5715300546448,8.22423585404549,-6.91094306363475,-4.84057652476646,-0.69902102062386,2.74145811299026,-0.313548541762362,0.888849127658578,2.47613335340457,1.61172420429387,1.26982811140168,3.18668193550862,9.86215256206801,10.0474321385796
1982-10-01,4.21603682878033,6.08594270422405,13.356449426032,16.6832718772661,17.2613137528281,17.6350011837954,28.9503616837953,21.4533042789289,16.6340223458227,24.7501654413835,18.275956284153,10.823757271285,-4.05048827780715,-1.13447195046714,2.51649778302085,5.43999736437061,3.90478381389605,0.402358166531804,2.01069999337439,3.40784611832822,0.542668705498736,7.98467755921018,18.8592133252212,13.9924961113969
1983-01-01,2.77788342322204,4.58198951725548,12.2644224987649,16.1936934076929,16.8981707547042,17.3562882545115,28.6863277981691,29.1561564223994,22.5153839644082,26.7319799114402,18.109781420765,8.48427022739293,-5.52250661025911,-2.02918759915389,1.7115445633161,3.87400424073547,5.79514107696948,3.99814176664521,1.3771637362585,2.34606862568006,3.82528806322469,6.38091423731349,17.1796426767811,13.3680489836753
1983-04-01,1.64540214075888,3.34002124106229,11.316729278198,15.8384865594607,16.6701741320916,17.2135359578342,14.3502744184768,27.8066274005089,21.1940163892739,22.7713704726853,18.0229508196721,6.25474616604971,-6.42789588107409,-2.61638279276102,1.68082180775328,2.64306290593829,0.819563397347853,5.02356622535516,4.18207439857742,4.24862420212101,7.4847434435231,10.1708939163392,11.8764244159214,13.6688913455756
1983-07-01,-1.61435948286635,-0.134801820824123,7.79294128356119,12.7143678201962,13.6370322972405,14.2418649864588,16.1978514448851,28.3499833412445,23.6863219040509,29.2731130883118,15.0850273224044,1.72505023796934,-9.32469122745167,-4.72762188583347,0.357288014074712,0.417113833747877,0.607743310524453,0.667231317247856,6.4048878942874,10.8841559805273,5.69250153787164,4.95710412128621,10.5159700792741,11.12058101564
1983-10-01,-2.18517412840818,-0.937292888340906,6.81942678987905,12.0498760136559,13.045909300638,13.7005990500349,11.9044186768239,29.5187812262291,19.6581256212761,22.7320813183144,14.5504371584699,-0.0968085668958167,-9.49449673893884,-4.08566014454433,1.54256859415038,0.469357991295894,-1.23025464468408,0.512559505042369,1.38067746060198,10.9558186782149,9.34826103135812,5.13882546938824,8.437888809335,11.2125052332439
1984-01-01,-2.99173090192387,-1.99562405395181,5.44612775490567,10.8703702327785,11.9170138522736,12.60650685547,18.5102890303696,28.8893657912736,26.6933183814676,21.7996317756831,13.4307650273224,-2.0969539925965,-9.9133862154063,-3.49532269081617,2.27220792824312,0.169188251705847,0.499794405096316,-1.65748316047796,0.561581805019982,2.03802251814686,9.37687451568457,9.02612490461236,8.34079065249512,10.9840415936166
1984-04-01,-2.92891728009423,-2.16994281202859,4.87344205547716,10.3659075548107,11.4366356634498,12.1431986458445,18.9492380111163,30.3279412193334,26.576724459371,22.3321463574249,12.9514207650273,-3.04475409836066,-9.59119689758506,-1.90434734708271,3.19556827889203,0.479233447233497,0.214417447506214,0.69126736149806,-1.78406002496423,0.932124588334341,1.80855383406049,9.95850452133975,16.4707131940869,11.0075219562853
1984-07-01,-3.37199971375293,-2.85116253691241,3.68686386834996,9.12970149249185,10.2002957730211,10.9078070387896,15.6666188607663,33.1122327438156,24.6841601256019,22.9386487359557,11.7325136612022,-4.43225806451612,-9.78019860156297,-0.690983239320815,3.19249369482986,0.394735674382488,0.828257546238241,0.569048681097467,1.58154218274102,-1.63828363161634,0.684570227856288,2.14110624999834,14.907471933259,9.58929577485728
1984-10-01,-2.93153050664063,-2.62410862996299,3.4114776697805,8.79256952873276,9.86071847584188,10.5676651380248,14.7972457454963,33.7579866903022,26.1558014871486,11.7444541078881,11.42956284153,-4.95258064516129,-8.92461014160645,1.12675190228565,3.63382606882809,0.735462658816388,0.565600883848695,1.30736567102979,1.47114569453961,2.08933774119889,-1.74089284093905,0.818878556025642,4.23530933767846,8.75987646092496
