"id","date","credit_gap","crisis"
"1","AR",2000-01-01,5.2,0
"2","AR",2000-04-01,4.7,0
"3","AR",2000-07-01,4.5,0
"4","AR",2000-10-01,3.9,0
"5","AR",2001-01-01,3,1
"6","AR",2001-04-01,4.2,1
"7","AR",2001-07-01,3.2,1
"8","AR",2001-10-01,13.8,1
"9","AR",2002-01-01,46.9,1
"10","AR",2002-04-01,52.9,1
"11","AR",2002-07-01,42,1
"12","AR",2002-10-01,27.2,1
"13","AR",2003-01-01,15.4,1
"14","AR",2003-04-01,9.3,1
"15","AR",2003-07-01,6.9,1
"16","AR",2003-10-01,4.7,1
"17","AR",2004-01-01,0.6,0
"18","AR",2004-04-01,-0.2,0
"19","AR",2004-07-01,-1.1,0
"20","AR",2004-10-01,-3.1,0
"21","AR",2005-01-01,-5.2,0
"22","AR",2005-04-01,-6,0
"23","AR",2005-07-01,-7.2,0
"24","AR",2005-10-01,-7.5,0
"25","AR",2006-01-01,-7.7,0
"26","AR",2006-04-01,-7.8,0
"27","AR",2006-07-01,-7.9,0
"28","AR",2006-10-01,-7.8,0
"29","AR",2007-01-01,-7.8,0
"30","AR",2007-04-01,-7.8,0
"31","AR",2007-07-01,-7.2,0
"32","AR",2007-10-01,-7.4,0
"33","AR",2008-01-01,-7.7,0
"34","AR",2008-04-01,-8.2,0
"35","AR",2008-07-01,-7.9,0
"36","AR",2008-10-01,-7,0
"37","AR",2009-01-01,-6.2,0
"38","AR",2009-04-01,-5.5,0
"39","AR",2009-07-01,-5.4,0
"40","AR",2009-10-01,-5.5,0
"41","AR",2010-01-01,-5.8,0
"42","AR",2010-04-01,-5.7,0
"43","AR",2010-07-01,-5.5,0
"44","AR",2010-10-01,-5,0
"45","AR",2011-01-01,-4.8,0
"46","AR",2011-04-01,-4.3,0
"47","AR",2011-07-01,-3.3,0
"48","AR",2011-10-01,-3.1,0
"49","AR",2012-01-01,-3,0
"50","AR",2012-04-01,-2.4,0
"51","AR",2012-07-01,-1.7,0
"52","AR",2012-10-01,-0.6,0
"53","AR",2013-01-01,-0.6,0
"54","AR",2013-04-01,-0.3,0
"55","AR",2013-07-01,0.2,0
"56","AR",2013-10-01,1.2,0
"57","AR",2014-01-01,1.1,0
"58","AR",2014-04-01,-0.2,0
"59","AR",2014-07-01,-0.6,0
"60","AR",2014-10-01,-0.8,0
"61","AR",2015-01-01,-0.7,0
"62","AR",2015-04-01,-0.1,0
"63","AR",2015-07-01,0.1,0
"64","AR",2015-10-01,2,0
"65","AR",2016-01-01,1.9,0
"66","AR",2016-04-01,1.5,0
"67","AR",2016-07-01,1.7,0
"68","AR",2016-10-01,2,0
"69","AR",2017-01-01,1.8,0
"70","AR",2017-04-01,2.8,0
"71","AR",2017-07-01,4.1,0
"72","AR",2017-10-01,6.3,0
"73","AT",2000-01-01,2.9,0
"74","AT",2000-04-01,5,0
"75","AT",2000-07-01,9.6,0
"76","AT",2000-10-01,7.3,0
"77","AT",2001-01-01,5.5,0
"78","AT",2001-04-01,4.5,0
"79","AT",2001-07-01,4.6,0
"80","AT",2001-10-01,5.5,0
"81","AT",2002-01-01,3.8,0
"82","AT",2002-04-01,3.3,0
"83","AT",2002-07-01,2.6,0
"84","AT",2002-10-01,2,0
"85","AT",2003-01-01,0.4,0
"86","AT",2003-04-01,-0.2,0
"87","AT",2003-07-01,-0.6,0
"88","AT",2003-10-01,1.2,0
"89","AT",2004-01-01,0.5,0
"90","AT",2004-04-01,0.8,0
"91","AT",2004-07-01,-0.3,0
"92","AT",2004-10-01,-1.9,0
"93","AT",2005-01-01,-2.5,0
"94","AT",2005-04-01,-0.1,0
"95","AT",2005-07-01,0.4,0
"96","AT",2005-10-01,-0.6,0
"97","AT",2006-01-01,-0.3,0
"98","AT",2006-04-01,1,0
"99","AT",2006-07-01,1.2,0
"100","AT",2006-10-01,-0.9,0
"101","AT",2007-01-01,-2.8,0
"102","AT",2007-04-01,-0.9,0
"103","AT",2007-07-01,-0.4,0
"104","AT",2007-10-01,1,1
"105","AT",2008-01-01,0.7,1
"106","AT",2008-04-01,-0.3,1
"107","AT",2008-07-01,-0.9,1
"108","AT",2008-10-01,0.7,1
"109","AT",2009-01-01,0.1,1
"110","AT",2009-04-01,0.2,1
"111","AT",2009-07-01,1.2,1
"112","AT",2009-10-01,0.7,1
"113","AT",2010-01-01,0.9,1
"114","AT",2010-04-01,1.7,1
"115","AT",2010-07-01,0.9,1
"116","AT",2010-10-01,0.5,1
"117","AT",2011-01-01,-2.2,1
"118","AT",2011-04-01,-2.6,1
"119","AT",2011-07-01,-3.6,1
"120","AT",2011-10-01,-3.7,1
"121","AT",2012-01-01,-4.9,1
"122","AT",2012-04-01,-4.3,1
"123","AT",2012-07-01,-4.8,1
"124","AT",2012-10-01,-6.7,1
"125","AT",2013-01-01,-7.2,1
"126","AT",2013-04-01,-7.8,1
"127","AT",2013-07-01,-8.1,1
"128","AT",2013-10-01,-4.2,1
"129","AT",2014-01-01,-5.9,1
"130","AT",2014-04-01,-5.7,1
"131","AT",2014-07-01,-6,1
"132","AT",2014-10-01,-9.5,1
"133","AT",2015-01-01,-7.5,0
"134","AT",2015-04-01,-9.2,0
"135","AT",2015-07-01,-9.3,0
"136","AT",2015-10-01,-9.4,0
"137","AT",2016-01-01,-9.5,0
"138","AT",2016-04-01,-9.7,0
"139","AT",2016-07-01,-8.5,0
"140","AT",2016-10-01,-8.6,0
"141","AT",2017-01-01,-7.7,0
"142","AT",2017-04-01,-8.6,0
"143","AT",2017-07-01,-8.6,0
"144","AT",2017-10-01,-8.6,0
"145","AU",2000-01-01,2.5,0
"146","AU",2000-04-01,4.1,0
"147","AU",2000-07-01,4.1,0
"148","AU",2000-10-01,6.6,0
"149","AU",2001-01-01,7.9,0
"150","AU",2001-04-01,5.7,0
"151","AU",2001-07-01,5.8,0
"152","AU",2001-10-01,3.7,0
"153","AU",2002-01-01,2.7,0
"154","AU",2002-04-01,5.2,0
"155","AU",2002-07-01,6.9,0
"156","AU",2002-10-01,6.4,0
"157","AU",2003-01-01,5.9,0
"158","AU",2003-04-01,7.5,0
"159","AU",2003-07-01,7.6,0
"160","AU",2003-10-01,9.7,0
"161","AU",2004-01-01,9,0
"162","AU",2004-04-01,9.9,0
"163","AU",2004-07-01,9.8,0
"164","AU",2004-10-01,11,0
"165","AU",2005-01-01,10.8,0
"166","AU",2005-04-01,13.6,0
"167","AU",2005-07-01,14.2,0
"168","AU",2005-10-01,15.5,0
"169","AU",2006-01-01,14.6,0
"170","AU",2006-04-01,16.5,0
"171","AU",2006-07-01,17.3,0
"172","AU",2006-10-01,17.3,0
"173","AU",2007-01-01,16,0
"174","AU",2007-04-01,16.6,0
"175","AU",2007-07-01,18,0
"176","AU",2007-10-01,17.7,0
"177","AU",2008-01-01,16.8,0
"178","AU",2008-04-01,14.8,0
"179","AU",2008-07-01,12.5,0
"180","AU",2008-10-01,10.9,0
"181","AU",2009-01-01,7.1,0
"182","AU",2009-04-01,4.2,0
"183","AU",2009-07-01,3.8,0
"184","AU",2009-10-01,3.3,0
"185","AU",2010-01-01,1.7,0
"186","AU",2010-04-01,-0.9,0
"187","AU",2010-07-01,-4.6,0
"188","AU",2010-10-01,-9.1,0
"189","AU",2011-01-01,-11,0
"190","AU",2011-04-01,-13.3,0
"191","AU",2011-07-01,-13.3,0
"192","AU",2011-10-01,-14.9,0
"193","AU",2012-01-01,-15.3,0
"194","AU",2012-04-01,-14.4,0
"195","AU",2012-07-01,-14.3,0
"196","AU",2012-10-01,-13.8,0
"197","AU",2013-01-01,-13.7,0
"198","AU",2013-04-01,-10.9,0
"199","AU",2013-07-01,-11.3,0
"200","AU",2013-10-01,-9.6,0
"201","AU",2014-01-01,-10.7,0
